Año,eleccion_tipo,recuento_tipo,padron_tipo,distrito_id,distrito_nombre,seccionprovincial_id,seccionprovincial_nombre,seccion_id,seccion_nombre,circuito_id,mesa_id,mesa_electores,mesa_tipo,cargo_id,cargo_nombre,agrupacion_id,agrupacion_nombre,lista_numero,lista_nombre,votos_tipo,votos_cantidad
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497B,637,346,NATIVOS,4,GOBERNADOR         ,02-816,PARTIDO DIGNIDAD POPULAR,1A,POR LA VIDA,POSITIVO,1
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497B,638,350,NATIVOS,4,GOBERNADOR         ,02-1911,FRENTE NOS,A,LINEA ÚNICA,POSITIVO,8
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497B,638,350,NATIVOS,4,GOBERNADOR         ,02-503,FRENTE DE TODOS,2,CELESTE Y BLANCA,POSITIVO,114
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497B,636,351,NATIVOS,4,GOBERNADOR         ,02-309,MOVIMIENTO ORGANIZACION DEMOCRATICA,A,AZUL Y BLANCO,POSITIVO,1
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497B,636,351,NATIVOS,4,GOBERNADOR         ,02-865,FRENTE PATRIOTA,A,LEALTAD,POSITIVO,1
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497B,637,346,NATIVOS,4,GOBERNADOR         ,02-309,MOVIMIENTO ORGANIZACION DEMOCRATICA,A,AZUL Y BLANCO,POSITIVO,0
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497B,637,346,NATIVOS,4,GOBERNADOR         ,02-865,FRENTE PATRIOTA,A,LEALTAD,POSITIVO,1
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497B,638,350,NATIVOS,4,GOBERNADOR         ,02-309,MOVIMIENTO ORGANIZACION DEMOCRATICA,A,AZUL Y BLANCO,POSITIVO,1
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497B,638,350,NATIVOS,4,GOBERNADOR         ,02-865,FRENTE PATRIOTA,A,LEALTAD,POSITIVO,0
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497B,639,350,NATIVOS,4,GOBERNADOR         ,02-309,MOVIMIENTO ORGANIZACION DEMOCRATICA,A,AZUL Y BLANCO,POSITIVO,0
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497B,638,350,NATIVOS,4,GOBERNADOR         ,02-816,PARTIDO DIGNIDAD POPULAR,1A,POR LA VIDA,POSITIVO,1
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497B,639,350,NATIVOS,4,GOBERNADOR         ,02-1911,FRENTE NOS,A,LINEA ÚNICA,POSITIVO,11
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497B,639,350,NATIVOS,4,GOBERNADOR         ,02-503,FRENTE DE TODOS,2,CELESTE Y BLANCA,POSITIVO,118
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497B,639,350,NATIVOS,4,GOBERNADOR         ,02-816,PARTIDO DIGNIDAD POPULAR,1A,POR LA VIDA,POSITIVO,0
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497B,640,350,NATIVOS,4,GOBERNADOR         ,02-1911,FRENTE NOS,A,LINEA ÚNICA,POSITIVO,11
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497B,640,350,NATIVOS,4,GOBERNADOR         ,02-503,FRENTE DE TODOS,2,CELESTE Y BLANCA,POSITIVO,135
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497B,640,350,NATIVOS,4,GOBERNADOR         ,02-816,PARTIDO DIGNIDAD POPULAR,1A,POR LA VIDA,POSITIVO,2
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497B,641,349,NATIVOS,4,GOBERNADOR         ,02-1911,FRENTE NOS,A,LINEA ÚNICA,POSITIVO,5
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497B,635,349,NATIVOS,4,GOBERNADOR         ,135,JUNTOS POR EL CAMBIO,1A,1A,POSITIVO,92
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497B,636,351,NATIVOS,4,GOBERNADOR         ,135,JUNTOS POR EL CAMBIO,1A,1A,POSITIVO,76
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497B,637,346,NATIVOS,4,GOBERNADOR         ,135,JUNTOS POR EL CAMBIO,1A,1A,POSITIVO,81
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497B,638,350,NATIVOS,4,GOBERNADOR         ,135,JUNTOS POR EL CAMBIO,1A,1A,POSITIVO,86
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497B,639,350,NATIVOS,4,GOBERNADOR         ,135,JUNTOS POR EL CAMBIO,1A,1A,POSITIVO,104
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00503A,1045,352,NATIVOS,4,GOBERNADOR         ,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,A,UNIDAD,POSITIVO,16
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00503A,1046,349,NATIVOS,4,GOBERNADOR         ,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,A,UNIDAD,POSITIVO,10
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00503A,1047,329,NATIVOS,4,GOBERNADOR         ,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,A,UNIDAD,POSITIVO,6
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00504A,1184,350,NATIVOS,4,GOBERNADOR         ,02-276,MOVIMIENTO DE AVANZADA SOCIALISTA,1A,UNIDAD DE LA IZQUIERDA,POSITIVO,2
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00504A,1185,362,NATIVOS,4,GOBERNADOR         ,02-276,MOVIMIENTO DE AVANZADA SOCIALISTA,1A,UNIDAD DE LA IZQUIERDA,POSITIVO,5
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00504A,1186,351,NATIVOS,4,GOBERNADOR         ,02-276,MOVIMIENTO DE AVANZADA SOCIALISTA,1A,UNIDAD DE LA IZQUIERDA,POSITIVO,1
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00504A,1187,350,NATIVOS,4,GOBERNADOR         ,02-276,MOVIMIENTO DE AVANZADA SOCIALISTA,1A,UNIDAD DE LA IZQUIERDA,POSITIVO,2
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497B,640,350,NATIVOS,4,GOBERNADOR         ,135,JUNTOS POR EL CAMBIO,1A,1A,POSITIVO,82
