año,eleccion_tipo,recuento_tipo,padron_tipo,distrito_id,distrito_nombre,seccionprovincial_id,seccionprovincial_nombre,seccion_id,seccion_nombre,circuito_id,mesa_id,mesa_tipo,mesa_electores,cargo_nombre,votos_tipo,votos_cantidad,cargo_id,agrupacion_id,agrupacion_nombre
2021,GENERAL,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,00460,3,NATIVOS,349,DIPUTADOS PROVINCIALES,POSITIVO,13,6,508,FRENTE VAMOS CON VOS
2021,GENERAL,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,00460,3,NATIVOS,349,DIPUTADOS PROVINCIALES,POSITIVO,11,6,503,AVANZA LIBERTAD
2021,GENERAL,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,00460,4,NATIVOS,348,DIPUTADOS PROVINCIALES,BLANCOS,6,6,undefined,undefined
2021,GENERAL,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,00460,4,NATIVOS,348,DIPUTADOS PROVINCIALES,NULOS,2,6,undefined,undefined
2021,GENERAL,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,00460,4,NATIVOS,348,DIPUTADOS PROVINCIALES,RECURRIDOS,0,6,undefined,undefined
2021,GENERAL,PROVISORIO,COMANDO,2,BUENOS AIRES,8,Sección Capital,63,La Plata,00460,4,NATIVOS,348,DIPUTADOS PROVINCIALES,COMANDO,0,6,undefined,undefined
2021,GENERAL,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,00460,4,NATIVOS,348,DIPUTADOS PROVINCIALES,IMPUGNADOS,0,6,undefined,undefined
2021,GENERAL,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,00460,4,NATIVOS,348,DIPUTADOS PROVINCIALES,POSITIVO,125,6,506,JUNTOS
2021,GENERAL,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,00460,4,NATIVOS,348,DIPUTADOS PROVINCIALES,POSITIVO,67,6,507,FRENTE DE TODOS
2021,GENERAL,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,00460,4,NATIVOS,348,DIPUTADOS PROVINCIALES,POSITIVO,17,6,503,AVANZA LIBERTAD
2021,GENERAL,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,00460,4,NATIVOS,348,DIPUTADOS PROVINCIALES,POSITIVO,15,6,504,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
2021,GENERAL,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,00460,4,NATIVOS,348,DIPUTADOS PROVINCIALES,POSITIVO,8,6,508,FRENTE VAMOS CON VOS
2021,GENERAL,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,00460,5,NATIVOS,350,DIPUTADOS PROVINCIALES,BLANCOS,7,6,undefined,undefined
2021,GENERAL,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,00460,5,NATIVOS,350,DIPUTADOS PROVINCIALES,NULOS,3,6,undefined,undefined
2021,GENERAL,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,00460,5,NATIVOS,350,DIPUTADOS PROVINCIALES,RECURRIDOS,0,6,undefined,undefined
2021,GENERAL,PROVISORIO,COMANDO,2,BUENOS AIRES,8,Sección Capital,63,La Plata,00460,5,NATIVOS,350,DIPUTADOS PROVINCIALES,COMANDO,0,6,undefined,undefined
2021,GENERAL,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,00460,5,NATIVOS,350,DIPUTADOS PROVINCIALES,IMPUGNADOS,0,6,undefined,undefined
2021,GENERAL,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,00460,5,NATIVOS,350,DIPUTADOS PROVINCIALES,POSITIVO,142,6,506,JUNTOS
2021,GENERAL,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,00460,5,NATIVOS,350,DIPUTADOS PROVINCIALES,POSITIVO,60,6,507,FRENTE DE TODOS
2021,GENERAL,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,00460,5,NATIVOS,350,DIPUTADOS PROVINCIALES,POSITIVO,22,6,504,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
2021,GENERAL,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,00460,5,NATIVOS,350,DIPUTADOS PROVINCIALES,POSITIVO,16,6,503,AVANZA LIBERTAD
2021,GENERAL,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,00460,5,NATIVOS,350,DIPUTADOS PROVINCIALES,POSITIVO,11,6,508,FRENTE VAMOS CON VOS
2021,GENERAL,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,00460,6,NATIVOS,150,DIPUTADOS PROVINCIALES,BLANCOS,1,6,undefined,undefined
2021,GENERAL,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,00460,6,NATIVOS,150,DIPUTADOS PROVINCIALES,NULOS,0,6,undefined,undefined
2021,GENERAL,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,00460,6,NATIVOS,150,DIPUTADOS PROVINCIALES,RECURRIDOS,0,6,undefined,undefined
2021,GENERAL,PROVISORIO,COMANDO,2,BUENOS AIRES,8,Sección Capital,63,La Plata,00460,6,NATIVOS,150,DIPUTADOS PROVINCIALES,COMANDO,2,6,undefined,undefined
2021,GENERAL,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,00460,6,NATIVOS,150,DIPUTADOS PROVINCIALES,IMPUGNADOS,0,6,undefined,undefined
2021,GENERAL,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,00460,6,NATIVOS,150,DIPUTADOS PROVINCIALES,POSITIVO,56,6,506,JUNTOS
2021,GENERAL,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,00460,6,NATIVOS,150,DIPUTADOS PROVINCIALES,POSITIVO,27,6,507,FRENTE DE TODOS
2021,GENERAL,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,00460,6,NATIVOS,150,DIPUTADOS PROVINCIALES,POSITIVO,13,6,504,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
2021,GENERAL,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,00460,6,NATIVOS,150,DIPUTADOS PROVINCIALES,POSITIVO,6,6,503,AVANZA LIBERTAD
2021,GENERAL,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,00460,6,NATIVOS,150,DIPUTADOS PROVINCIALES,POSITIVO,6,6,508,FRENTE VAMOS CON VOS
2021,GENERAL,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,00461,7,NATIVOS,349,DIPUTADOS PROVINCIALES,BLANCOS,5,6,undefined,undefined
2021,GENERAL,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,00461,7,NATIVOS,349,DIPUTADOS PROVINCIALES,NULOS,5,6,undefined,undefined
2021,GENERAL,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,La Plata,00461,7,NATIVOS,349,DIPUTADOS PROVINCIALES,RECURRIDOS,0,6,undefined,undefined
