anio,agrupacion,nivel,campo_ideologico
2023,CONFIANZA PUBLICA,gobernacion,4
2023,CORRIENTE DE PENSAMIENTO BONAERENSE,gobernacion,6
2023,ESPERANZA DEL PUEBLO,gobernacion,6
2023,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,gobernacion,1
2023,FRENTE FEDERAL DE ACCION SOLIDARIA DE LA PROVINCIA DE BUENOS AIRES,gobernacion,
2023,FRENTE PATRIOTA FEDERAL,gobernacion,6
2023,JUNTOS POR EL CAMBIO,gobernacion,5
2023,JUSTICIA Y DIGNIDAD PATRIOTICA,gobernacion,6
2023,LA LIBERTAD AVANZA,gobernacion,6
2023,LIBER.AR,gobernacion,6
2023,MOVIMIENTO DE AVANZADA SOCIALISTA,gobernacion,1
2023,MOVIMIENTO DE INTEGRACION FEDERAL (MIF),gobernacion,6
2023,MOVIMIENTO LIBRES DEL SUR,gobernacion,2
2023,POLITICA ABIERTA PARA LA INTEGRIDAD SOCIAL,gobernacion,4
2023,POLITICA OBRERA,gobernacion,1
2023,PRINCIPIOS Y VALORES,gobernacion,4
2023,PROYECTO JOVEN,gobernacion,3
2023,TODOS POR BUENOS AIRES,gobernacion,3
2023,UNIDAD SOCIAL,gobernacion,
2023,UNION POR LA PATRIA,gobernacion,3
2023,VOCACION SOCIAL,gobernacion,2
2023,BUENOS AIRES PRIMERO (BAP),intendente,6
2023,CELESTE PROVIDA,intendente,6
2023,CONFIANZA PUBLICA,intendente,4
2023,CORRIENTE DE PENSAMIENTO BONAERENSE,intendente,6
2023,ESPERANZA DEL PUEBLO,intendente,6
2023,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,intendente,1
2023,FRENTE FEDERAL DE ACCION SOLIDARIA DE LA PROVINCIA DE BUENOS AIRES,intendente,
2023,FRENTE H.A.C.E.R. POR PROGRESO SOCIAL,intendente,
2023,FRENTE PATRIOTA FEDERAL,intendente,6
2023,JUNTOS POR EL CAMBIO,intendente,5
2023,LA LIBERTAD AVANZA,intendente,6
2023,LIBER.AR,intendente,6
2023,MOVIMIENTO DE AVANZADA SOCIALISTA,intendente,1
2023,MOVIMIENTO DE INTEGRACION FEDERAL (MIF),intendente,6
2023,MOVIMIENTO LIBRES DEL SUR,intendente,2
2023,POLITICA ABIERTA PARA LA INTEGRIDAD SOCIAL,intendente,4
2023,POLITICA OBRERA,intendente,1
2023,PRINCIPIOS Y VALORES,intendente,4
2023,PROYECTO JOVEN,intendente,3
2023,TODOS POR BUENOS AIRES,intendente,3
2023,UNION POR LA PATRIA,intendente,3
2023,VOCACION SOCIAL,intendente,2
2023,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,presidente,1
2023,FRENTE LIBER.AR,presidente,6
2023,FRENTE PATRIOTA FEDERAL,presidente,6
2023,HACEMOS POR NUESTRO PAIS,presidente,3
2023,JUNTOS POR EL CAMBIO,presidente,5
2023,LA LIBERTAD AVANZA,presidente,6
2023,MOVIMIENTO AL SOCIALISMO,presidente,1
2023,MOVIMIENTO DE ACCION VECINAL,presidente,4
2023,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,presidente,1
2023,MOVIMIENTO LIBRES DEL SUR,presidente,2
2023,POLITICA OBRERA,presidente,1
2023,PRINCIPIOS Y VALORES,presidente,4
2023,PROYECTO JOVEN,presidente,3
2023,UNION DEL CENTRO DEMOCRATICO,presidente,4
2023,UNION POR LA PATRIA,presidente,3
