anio,nivel,circuito_id_crudo,circuito_id_canonico
2013,municipal,0469,469
2013,municipal,0471,471
2013,municipal,0472,472
2013,municipal,0473,473
2013,municipal,0474,474
2013,municipal,0475,475
2013,municipal,0476,476
2013,municipal,0477,477
2013,municipal,0480,480
2013,municipal,0481,481
2013,municipal,0482,482
2013,municipal,0483,483
2013,municipal,0484,484
2013,municipal,0485,485
2013,municipal,0486,486
2013,municipal,0487,487
2013,municipal,0488,488
2013,municipal,0493,493
2013,municipal,0495,495
2013,municipal,0496,496
2013,municipal,0496A,496A
2013,municipal,0496B,496B
2013,municipal,0496C,496C
2013,municipal,0496D,496D
2013,municipal,0496E,496E
2013,municipal,0496F,496F
2013,municipal,0497,497
2013,municipal,0497A,497A
2013,municipal,0497B,497B
2013,municipal,0497C,497C
2013,municipal,0497D,497D
2013,municipal,0497E,497E
2013,municipal,0497F,497F
2013,municipal,0498,498
2013,municipal,0501,501
2013,municipal,0502,502
2013,municipal,0503,503
2013,municipal,0503A,503A
2013,municipal,0504,504
2013,municipal,0504A,504A
2013,municipal,0505,505
2013,municipal,0505A,505A
2013,municipal,0505B,505B
2013,municipal,0508,508
2013,municipal,0508A,508A
2013,municipal,0508B,508B
2013,municipal,0508C,508C
2013,municipal,0508D,508D
2013,municipal,0508E,508E
2013,municipal,0508F,508F
2013,municipal,0508G,508G
2013,municipal,0509,509
2013,municipal,0509A,509A
2013,municipal,0516,516
2013,municipal,0517,517
2013,municipal,0518,518
2013,municipal,0519,519
2013,municipal,0520,520
2013,municipal,0521,521
2013,nacional,0460,460
2013,nacional,0461,461
2013,nacional,0462,462
2013,nacional,0463,463
2013,nacional,0464,464
2013,nacional,0465,465
2013,nacional,0466,466
2013,nacional,0467,467
2013,nacional,0468,468
2013,nacional,0469,469
2013,nacional,0471,471
2013,nacional,0472,472
2013,nacional,0473,473
2013,nacional,0474,474
2013,nacional,0475,475
2013,nacional,0476,476
2013,nacional,0477,477
2013,nacional,0480,480
2013,nacional,0481,481
2013,nacional,0482,482
2013,nacional,0483,483
2013,nacional,0484,484
2013,nacional,0485,485
2013,nacional,0486,486
2013,nacional,0487,487
2013,nacional,0488,488
2013,nacional,0493,493
2013,nacional,0495,495
2013,nacional,0496,496
2013,nacional,0496A,496A
2013,nacional,0496B,496B
2013,nacional,0496C,496C
2013,nacional,0496D,496D
2013,nacional,0496E,496E
