anio,agrupacion,nivel,campo_ideologico,filiacion_politica,vparty_economico,vparty_progresismo,vparty_populismo
2025,ALIANZA UNIÓN FEDERAL,nacional,4,peronismo provincial,,,
2025,COALICIÓN CÍVICA - A.R.I.,nacional,4,otros,0.452,0.288,0.403
2025,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,nacional,1,marxistas,-1.991,2.325,0.723
2025,FRENTE PATRIOTA FEDERAL,nacional,6,nacionalistas,,,
2025,LIBER.AR,nacional,6,liberales,2.641,-1.260,0.237
2025,MOVIMIENTO AVANZADA SOCIALISTA,nacional,1,marxistas,-1.991,2.325,0.723
2025,MOVIMIENTO POLÍTICO SOCIAL Y CULTURAL PROYECTO SUR,nacional,2,progresistas,-1.412,1.557,0.723
2025,PARTIDO NUEVO BUENOS AIRES,nacional,4,otros,,,
2025,PROPUESTA FEDERAL PARA EL CAMBIO,nacional,5,liberales,1.410,-0.092,0.169
2025,UNIÓN LIBERAL,nacional,6,liberales,2.641,-1.260,0.237
2025,ALIANZA ES CON VOS ES CON NOSOTROS,provincial,,,,,
2025,ALIANZA FUERZA PATRIA,provincial,3,peronistas,-0.465,1.069,0.642
2025,ALIANZA LA LIBERTAD AVANZA,provincial,6,liberales,2.641,-1.260,0.237
2025,ALIANZA NUEVOS AIRES,provincial,4,liberales,,,
2025,ALIANZA POTENCIA,provincial,4,liberales,,,
2025,ALIANZA SOMOS BUENOS AIRES,provincial,4,radicalismo,0.325,0.533,0.334
2025,ALIANZA UNION LIBERAL,provincial,6,liberales,2.641,-1.260,0.237
2025,ALIANZA UNION Y LIBERTAD,provincial,6,liberales,2.641,-1.260,0.237
2025,CONSTRUYENDO PORVENIR,provincial,,,,,
2025,FTE. DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,provincial,1,marxistas,-1.991,2.325,0.723
2025,MOVIMIENTO AVANZADA SOCIALISTA,provincial,1,marxistas,-1.991,2.325,0.723
2025,ORG. SOC. DE LOS TRABAJADORES DE LA PLATA,provincial,,,,,
2025,PARTIDO FRENTE PATRIOTA FEDERAL,provincial,6,nacionalistas,,,
2025,PARTIDO LIBERTARIO,provincial,,,,,
2025,PARTIDO POLITICA OBRERA,provincial,1,marxistas,-1.991,2.325,0.723
2025,PARTIDO TIEMPO DE TODOS,provincial,,,,,
2025,VALORES REPUBLICANOS,provincial,,,,,
