id_transicion,nivel,anio_t,anio_t_menos_2,orden,tipo_fila,fecha_inicio,fecha_fin,n_meses,votantes_habilitados,votos_positivos,votos_blancos,votos_nulos,ausentismo,votos_blancos_y_nulos,participacion_pct,gana_oficialismo,share_oficialismo,agrupacion_oficialismo,n_fuerzas_viables,share_marginal_acumulado,share_oposicion_principal,share_otras_fuerzas_viables,dispersion_economico_mu,dispersion_economico_sigma2,dispersion_progresismo_mu,dispersion_progresismo_sigma2,dispersion_cobertura_share,resultado_disponible,desocupacion,emae,hacinamiento_medio,icc,icg,ipc,pct_hogares_ayuda_social_gobierno,pct_hogares_prestamo_bancario,pct_hogares_vendio_pertenencias,pct_sin_cobertura_salud,reservas,resultado_fiscal,salario_real,tasa_informalidad,tc_oficial
nacional_2011_2015,nacional,2015,2011,9,trimestre,2013-11-01,2014-01-01,3,,,,,,,,,,,,,,,,,,,,,0.06633333333333334,142.08082471692424,1.179013784149304,46.568451,1.682513157526652,2.355828220858891,0.06011128295627116,0.04803790850521392,0.028382657541731887,0.23938408504624945,30825.595340501794,-29541.343023558205,5254.49506089741,0.2806992207532704,6.890666666666667
nacional_2011_2015,nacional,2015,2011,10,trimestre,2014-02-01,2014-04-01,3,,,,,,,,,,,,,,,,,,,,,0.071,143.12185680579069,1.2203386869720163,35.45561466666667,1.4421308835347493,,0.08029285469067922,0.04251540609939438,0.024597674133194757,0.26541316880179927,27563.15573476702,,,0.29868442003756623,7.959333333333333
nacional_2011_2015,nacional,2015,2011,11,trimestre,2014-05-01,2014-07-01,3,,,,,,,,,,,,,,,,,,,,,0.07233333333333332,154.4765272221825,1.219583214878791,40.91977833333333,1.6946115096410115,,0.08795568748069364,0.05140715286208301,0.02972617807748698,0.2915422000147192,28922.771684587813,,,0.31225635159778603,8.142
nacional_2011_2015,nacional,2015,2011,12,trimestre,2014-08-01,2014-10-01,3,,,,,,,,,,,,,,,,,,,,,0.073,141.72447819440967,1.2276564279337667,43.111648333333335,1.724388837814331,,0.08255378533469969,0.042644560197137395,0.027885965036433685,0.2767592692733614,28237.264157706097,,,0.3160728526486731,8.443666666666667
nacional_2011_2015,nacional,2015,2011,13,trimestre,2014-11-01,2015-01-01,3,,,,,,,,,,,,,,,,,,,,,0.06966666666666667,138.43724123924721,1.1811684519541576,45.945330222222225,1.6883504390716553,,0.06660507650023693,0.04671890273758228,0.02190681928647382,0.25897013475132347,29994.79534050179,,,0.2988932881216359,8.573
nacional_2011_2015,nacional,2015,2011,14,trimestre,2015-02-01,2015-04-01,3,,,,,,,,,,,,,,,,,,,,,0.06933333333333333,146.5071664921388,1.1370717422940928,51.974674666666665,1.8043383359909058,,0.06390088657219867,0.054562293989324495,0.009494184515227619,0.23373845061586018,31593.437557603687,,,0.2752598504697315,8.818333333333333
nacional_2011_2015,nacional,2015,2011,15,trimestre,2015-05-01,2015-07-01,3,,,,,,,,,,,,,,,,,,,,,0.06366666666666666,161.22276231400656,1.13549418026811,55.321869,2.021416505177816,,0.07317935033883304,0.036941387828430275,0.009217183392557561,0.23708399632325589,33782.58207885305,,,0.2670943576665604,9.09
nacional_2011_2015,nacional,2015,2011,16,trimestre,2015-08-01,2015-10-01,3,,,,,,,,,,,,,,,,,,,,,0.059,146.46442235895975,,56.12057766666667,1.8678990602493286,,,,,,31762.825448028674,,,,9.421333333333333
nacional_2011_2015,nacional,2015,2011,17,eleccion_t,2015-10-25,2015-10-25,,531539,398598,8778,2271,121310,11049,77.06809848383655,False,29.890767138821573,ALIANZA FRENTE PARA LA VICTORIA,5,0.9071796647248607,41.10708031650937,28.0949728799442,-0.016297211012147397,2.005435923552232,0.8009901995533973,0.9586179204547614,99.09282033527515,True,,,,,,,,,,,,,,,
nacional_2013_2017,nacional,2017,2013,0,eleccion_t_menos_2,2013-10-27,2013-10-27,,500621,380688,22248,4867,92576,27115,81.45942739118016,False,27.11511789181692,ALIANZA FRENTE PARA LA VICTORIA,5,1.2340814525280546,36.875866851595006,34.77493380406001,-0.5931747440091493,0.8762874139657149,1.108631772121599,0.8662119349898939,98.76591854747194,True,,,,,,,,,,,,,,,
