id_transicion,nivel,anio_t,anio_t_menos_1,orden,tipo_fila,fecha_inicio,fecha_fin,n_meses,votantes_habilitados,votos_positivos,votos_blancos,votos_nulos,ausentismo,votos_blancos_y_nulos,participacion_pct,gana_oficialismo,share_oficialismo,agrupacion_oficialismo,n_fuerzas_viables,share_marginal_acumulado,share_oposicion_principal,share_otras_fuerzas_viables,dispersion_economico_mu,dispersion_economico_sigma2,dispersion_progresismo_mu,dispersion_progresismo_sigma2,dispersion_cobertura_share,resultado_disponible,desocupacion,emae,hacinamiento_medio,icc,icg,ipc,pct_hogares_ayuda_social_gobierno,pct_hogares_prestamo_bancario,pct_hogares_vendio_pertenencias,pct_sin_cobertura_salud,reservas,resultado_fiscal,salario_real,tasa_informalidad,tc_oficial
municipal_2001_2003,municipal,2003,2001,0,eleccion_t_menos_1,2001-10-14,2001-10-14,,410518,230541,27230,57051,95696,84281,76.6889636995211,True,31.925340828746297,PARTIDO JUSTICIALISTA,13,5.337445400167432,13.479164226753593,49.25804954433268,-0.11444223373546086,1.577375649574174,0.6854624686180665,1.204418451288126,92.26211389731111,False,,,,,,,,,,,,,,,
municipal_2001_2003,municipal,2003,2001,1,trimestre,2001-11-01,2002-01-01,3,,,,,,,,,,,,,,,,,,,,,,,,33.24173033333333,1.050189216931661,4.694559025731682,,,,,,-14299.070805404377,11338.808823740905,,1.3499999999999999
municipal_2001_2003,municipal,2003,2001,2,trimestre,2002-02-01,2002-04-01,3,,,,,,,,,,,,,,,,,,,,,,,,31.232239333333336,0.875776489575704,51.63227016885554,,,,,,-13435.412573401694,8589.262367266596,,2.7099999999999995
municipal_2001_2003,municipal,2003,2001,3,trimestre,2002-05-01,2002-07-01,3,,,,,,,,,,,,,,,,,,,,,,,,30.899061,0.45011858145395917,27.592180153427392,,,,,,4834.524152497415,6058.71421000998,,3.6999999999999997
municipal_2001_2003,municipal,2003,2001,4,trimestre,2002-08-01,2002-10-01,3,,,,,,,,,,,,,,,,,,,,,,,,32.600983,0.4190446436405182,8.13615205585727,,,,,,4656.323223250983,5373.779096719085,,3.6333333333333333
municipal_2001_2003,municipal,2003,2001,5,trimestre,2002-11-01,2003-01-01,3,,,,,,,,,,,,,,,,,,,,,0.204,,,39.24745523333333,0.776074488957723,-1.6411084207694437,,,,,9914.678687358575,7092.759621843173,5408.74184233972,,3.4066666666666667
municipal_2001_2003,municipal,2003,2001,6,trimestre,2003-02-01,2003-04-01,3,,,,,,,,,,,,,,,,,,,,,0.19533333333333333,,,39.33029393333334,0.8521494269371033,-2.12436177972285,,,,,10204.408938893239,11920.891363282237,5428.617943447626,,2.9966666666666666
municipal_2001_2003,municipal,2003,2001,7,eleccion_t,2003-04-27,2003-04-27,,427601,277168,25930,5015,119488,30945,72.05619257204731,True,32.246868325347805,PARTIDO JUSTICIALISTA,8,7.601887663799572,21.43393176701495,38.717312243837675,0.02349754000421713,0.6161110517104788,0.21112146131559012,0.8455626034558033,92.39811233620043,False,,,,,,,,,,,,,,,
municipal_2003_2005,municipal,2005,2003,0,eleccion_t_menos_1,2003-04-27,2003-04-27,,427601,277168,25930,5015,119488,30945,72.05619257204731,True,32.246868325347805,PARTIDO JUSTICIALISTA,8,7.601887663799572,21.43393176701495,38.717312243837675,0.02349754000421713,0.6161110517104788,0.21112146131559012,0.8455626034558033,92.39811233620043,False,,,,,,,,,,,,,,,
municipal_2003_2005,municipal,2005,2003,1,trimestre,2003-05-01,2003-07-01,3,,,,,,,,,,,,,,,,,,,,,0.17248988830669654,,1.2134862114068483,50.93326953333334,2.5414560635884604,-0.810433162552382,0.0058075046667448215,0.04022418410871937,0.056226384467630376,0.3906036949481032,11874.751157088709,16785.22569586941,5626.984677729088,0.3999502770279869,2.856666666666667
