anio,trimestre,sexo,tasa_actividad,tasa_empleo,tasa_desocupacion,tasa_informalidad,ingreso_ocupacion_principal_medio_todos_ocupados,ingreso_ocupacion_principal_medio_perceptores
2011,1,mujer,0.4477261350071239,0.40539361033026555,0.09455004156990912,0.23778992329949938,2584.8767295697053,2584.8767295697053
2011,1,varon,0.6506642728904848,0.6187987595887058,0.04897381741926745,0.27821169053961703,2998.4824522996905,2998.4824522996905
2011,2,mujer,0.436369303735576,0.4096665362800704,0.0611930473269185,0.25811113265072344,2596.0332622187743,2596.0332622187743
2011,2,varon,0.6332525510204081,0.5929272959183673,0.063679577819405,0.22892418144240181,3521.4133439459615,3521.4133439459615
2011,3,mujer,0.45318516888546595,0.41383852771244123,0.08682243787851945,0.28189094547273635,2613.1379525906978,2613.1379525906978
2011,3,varon,0.6086230603024946,0.5798024344035331,0.04735381844492913,0.24924875152231407,3752.1280804327635,3752.1280804327635
2011,4,mujer,0.4426948333762339,0.4106211801045177,0.07245093200457044,0.23770726610946347,2835.590920687217,2835.590920687217
2011,4,varon,0.6110155396093713,0.5842386225031285,0.043823627011780324,0.23510249085350574,3921.445133722317,3921.445133722317
2012,1,mujer,0.43557340618319207,0.4198093721825709,0.03619145195010176,0.2861356676238646,3222.0635082527688,3222.0635082527688
2012,1,varon,0.624842682130283,0.5891765305634767,0.05708021008617613,0.24096312835676784,3782.7506002725563,3782.7506002725563
2012,2,mujer,0.45549080995251434,0.4298096079811855,0.056381383356573445,0.25798319327731095,3410.9634472759717,3410.9634472759717
2012,2,varon,0.6561944676216378,0.6175773711330357,0.05885007935005751,0.2287740960887984,3976.541885181232,3976.541885181232
2012,3,mujer,0.45550552820571355,0.41661435321044427,0.08538024806958082,0.2711886409736308,3447.863290628177,3447.863290628177
2012,3,varon,0.6127640337339632,0.5881182871128154,0.04022061554586575,0.23594891953461297,4368.739424075999,4368.739424075999
2012,4,mujer,0.42461128753822314,0.3976532902838087,0.06348864960870289,0.2870022539444027,3187.0857947179315,3187.0857947179315
2012,4,varon,0.6021418390538926,0.5795613595798502,0.037500266564305974,0.2668968023255814,4412.387563836976,4412.387563836976
2013,1,mujer,0.4502751489765178,0.433913236556107,0.036337587045613566,0.26665971509240244,3940.0710521948386,3940.0710521948386
2013,1,varon,0.6235376985826742,0.5955973106662732,0.04480946056655523,0.21629661593179558,4833.82666808726,4833.82666808726
2013,2,mujer,0.5148464809406352,0.47664300954859795,0.07420361759536308,0.30489473927017174,4024.4414312019812,4024.4414312019812
2013,2,varon,0.6549567885771543,0.616066508016032,0.05937839142885828,0.26476273575407744,5117.511956980285,5117.511956980285
2013,3,mujer,0.5154247255696531,0.46973450596639005,0.0886457659802132,0.2358726337057453,4443.092967332408,4443.092967332408
2013,3,varon,0.6248220411798278,0.5971106386448162,0.04435087226226086,0.2553665913589968,5287.003051230207,5287.003051230207
2013,4,mujer,0.46910142748956574,0.430749389316889,0.08175638769193422,0.2958667020913197,4678.910964381787,4678.910964381787
2013,4,varon,0.6491132257109005,0.6305477389415481,0.028601307189542485,0.2556333009394234,5732.8540355650375,5732.8540355650375
2014,1,mujer,0.4585383690000028,0.4214379617663724,0.08091014785641674,0.31464885381256885,4706.857188271993,4706.857188271993
2014,1,varon,0.6540680326238313,0.6132550891850673,0.062398621248986215,0.27629377871007144,5600.338384111428,5600.338384111428
2014,2,mujer,0.447005586957232,0.4055254244671698,0.09279562426147231,0.3483656031982441,5045.127196309998,5045.127196309998
2014,2,varon,0.6238135647402775,0.5787624455823631,0.07221888350034707,0.274829877935764,5928.076183398527,5928.076183398527
2014,3,mujer,0.46473631953245453,0.41296082530815864,0.1114083234905857,0.32777814763035457,5019.5081903123655,5019.5081903123655
2014,3,varon,0.617091864251626,0.581189853564109,0.058179361562409944,0.3126759269587355,6309.517601500817,6309.517601500817
2014,4,mujer,0.45376098772059315,0.4350104005904851,0.04132260735833432,0.31088863543558765,5793.984723027753,5793.984723027753
2014,4,varon,0.629280316924657,0.5881358667742645,0.06538334196033445,0.306452859622371,6899.778946423047,6899.778946423047
