año,mes,icg_la_plata,icg_pais,brecha,n_la_plata,n_pais
2022,3,1.2987632,1.4863149,-0.18755174,60,1392
2022,4,1.358505,1.4523016,-0.09379661,51,1010
2022,5,1.3783784,1.3032362,0.075142145,37,1082
2022,6,1.4375,1.4016157,0.03588426,48,1008
2022,7,0.92156863,1.1166668,-0.19509816,51,1018
2022,8,1.18,1.1825767,-0.0025767088,50,1001
2022,9,1.1863519,1.2247705,-0.03841865,64,1204
2022,10,1.3783784,1.3020395,0.07633889,37,799
2022,11,1.2727273,1.189553,0.08317423,33,1001
2022,12,1.264151,1.2512662,0.012884736,53,1004
2023,1,1.6416488,1.2741215,0.36752725,56,1001
2023,2,1.4385965,1.17133,0.2672665,57,1000
2023,3,1.4073159,1.1393877,0.26792812,75,1751
2023,4,0.96547735,1.109807,-0.14432967,26,431
2023,5,1.2692307,1.1082302,0.16100049,26,820
2023,6,1.3207548,1.1210777,0.19967711,53,1023
2023,7,1.1333294,1.1782081,-0.04487872,60,1031
2023,8,1.6666667,1.2972009,0.36946583,42,977
2023,9,1.2083333,1.0316844,0.17664886,48,1000
2023,10,1.2527925,1.2087897,0.04400277,59,1259
2023,11,1.5999999,1.5068053,0.093194604,30,742
2023,12,2.8085105,2.8582237,-0.049713135,47,1009
2024,1,2.2138698,2.5740464,-0.36017656,56,1078
2024,2,2.6727276,2.6105897,0.062137842,55,923
2024,3,2.48,2.560639,-0.080638885,50,1005
2024,4,2.3653846,2.4489384,-0.08355379,52,1002
2024,5,2.3750002,2.5135756,-0.13857532,48,1002
2024,6,2.717391,2.4613478,0.2560432,92,2004
2024,7,1.7727273,2.371224,-0.5984967,44,1004
2024,8,2.488889,2.5372326,-0.04834366,45,1000
2024,9,2.2857141,2.16084,0.124874115,42,1002
2024,10,2.22807,2.425402,-0.1973319,57,1000
2024,11,2.5,2.6632695,-0.16326952,52,1000
2024,12,2.7380953,2.654707,0.08338833,42,1000
2025,1,2.7250001,2.6054366,0.11956358,40,1000
2025,2,2.6363635,2.55855,0.077813625,44,1000
2025,3,2.0232558,2.4186673,-0.3954115,43,1001
2025,4,2.2692308,2.3303394,-0.06110859,52,1000
2025,5,2.0681818,2.4474478,-0.37926602,44,1001
2025,6,2.0000002,2.3363414,-0.33634114,52,1000
2025,7,1.9375,2.4501443,-0.5126443,32,1001
2025,8,2.2926831,2.1175497,0.17513347,41,1000
2025,9,2.0851064,1.9439665,0.14113986,47,1000
2025,10,2.1290321,2.1011279,0.027904272,31,1000
2025,11,2.688889,2.4683516,0.22053742,45,1008
2025,12,2.4222224,2.4647255,-0.04250312,45,1000
2026,1,2.5,2.3968782,0.10312176,40,1000
2026,2,2.5263157,2.383406,0.14290977,38,1000
2026,3,2.1777778,2.3008897,-0.12311196,45,1000
2026,4,1.6097562,2.0230315,-0.41327524,41,1000
2026,5,1.8333334,1.9910202,-0.15768683,48,1000
2026,6,2.0,2.069246,-0.06924605,48,1000
2026,7,2.5641026,1.9355526,0.62855005,39,1000
2026,8,1.3777777,2.0587044,-0.6809267,45,1000
