año,mes,sexo,n,icg
2020,1,1,479,2.3732338
2020,2,0,696,2.2155375
2020,2,1,506,2.3426213
2020,3,0,780,2.3179975
2020,3,1,579,2.3738828
2020,4,0,579,3.4024694
2020,4,1,469,3.071504
2020,5,0,701,3.0762222
2020,5,1,504,2.898447
2020,6,0,686,2.8247359
2020,6,1,515,2.7001908
2020,7,0,676,2.5345602
2020,7,1,526,2.523183
2020,8,0,699,2.2879362
2020,8,1,505,2.504448
2020,9,0,820,2.1985888
2020,9,1,550,2.286784
2020,10,0,630,2.04276
2020,10,1,403,1.9071387
2020,11,0,701,1.9402984
2020,11,1,501,2.132104
2020,12,0,722,1.8094039
2020,12,1,481,1.9192969
2021,1,0,716,1.8388247
2021,1,1,485,1.9295437
2021,2,0,705,1.727553
2021,2,1,500,1.9409906
2021,3,0,679,1.7132349
2021,3,1,521,1.8719863
2021,4,0,672,1.759346
2021,4,1,532,1.7017976
2021,5,0,647,1.9150561
2021,5,1,553,1.9511045
2021,6,0,688,1.7374179
2021,6,1,513,1.6571425
2021,7,0,644,1.6140267
2021,7,1,557,1.795749
2021,8,0,939,1.5920366
2021,8,1,779,1.953962
2021,9,0,333,1.5328954
2021,9,1,346,1.7029954
2021,10,0,627,1.5203081
2021,10,1,575,1.5281286
2021,11,0,653,1.4106263
2021,11,1,549,1.50624
2021,12,0,661,1.2977227
2021,12,1,539,1.5688094
2022,1,0,642,1.4562865
2022,1,1,538,1.6433407
2022,2,0,635,1.4494584
2022,2,1,569,1.536972
2022,3,0,775,1.412632
2022,3,1,617,1.575733
2022,4,0,519,1.3555652
2022,4,1,491,1.554514
2022,5,0,575,1.2655857
2022,5,1,507,1.3459446
2022,6,0,546,1.352925
2022,6,1,462,1.4578387
2022,7,0,542,1.1316545
2022,7,1,476,1.0989774
2022,8,0,525,1.0695618
2022,8,1,476,1.2998857
2022,9,0,686,1.1753981
2022,9,1,518,1.2917986
2022,10,0,405,1.1785091
2022,10,1,394,1.4273688
2022,11,0,541,1.204768
2022,11,1,460,1.1724398
2022,12,0,550,1.2151672
2022,12,1,454,1.2932059
2023,1,0,550,1.1985098
2023,1,1,451,1.3683252
2023,2,0,565,1.1070898
2023,2,1,435,1.2569449
2023,3,0,990,1.1088132
2023,3,1,761,1.178685
2023,4,0,211,1.1474936
2023,4,1,220,1.0740005
2023,5,0,432,0.9257388
2023,5,1,388,1.300936
2023,6,0,544,1.1814083
2023,6,1,479,1.0589526
2023,7,0,563,1.0650684
2023,7,1,468,1.3099085
2023,8,0,503,1.2830261
2023,8,1,474,1.3119938
2023,9,0,529,1.0790019
2023,9,1,471,0.98023623
2023,10,0,692,1.2258765
2023,10,1,567,1.1882694
2023,11,0,378,1.5965488
2023,11,1,364,1.4136183
2023,12,0,541,2.843739
2023,12,1,468,2.8747199
2024,1,0,589,2.4395547
2024,1,1,489,2.7291849
2024,2,0,475,2.4575453
2024,2,1,448,2.7737055
2024,3,0,536,2.4913054
2024,3,1,469,2.6406658
2024,4,0,537,2.1931572
2024,4,1,465,2.7375593
2024,5,0,527,2.3932807
2024,5,1,475,2.6438262
2024,6,0,1056,2.2817278
2024,6,1,948,2.6594553
2024,7,0,509,2.2937639
2024,7,1,495,2.4509616
2024,8,0,501,2.4080918
2024,8,1,499,2.664674
2024,9,0,515,1.8125013
2024,9,1,487,2.5397007
2024,10,0,510,2.167771
2024,10,1,490,2.6928542
2024,11,0,536,2.5486083
2024,11,1,464,2.8010945
2024,12,0,505,2.3616674
2024,12,1,495,2.9416182
2025,1,0,502,2.4578178
2025,1,1,498,2.7505383
2025,2,0,542,2.4351218
2025,2,1,458,2.7042673
2025,3,0,520,2.230296
2025,3,1,481,2.6196456
2025,4,0,506,2.043439
2025,4,1,494,2.6113405
2025,5,0,490,2.1627574
2025,5,1,511,2.7082098
2025,6,0,510,2.118003
2025,6,1,490,2.5555224
2025,7,0,486,2.2451186
2025,7,1,515,2.6441503
2025,8,0,495,1.7980192
2025,8,1,505,2.4227989
2025,9,0,498,1.757733
2025,9,1,502,2.1246893
2025,10,0,514,1.9106098
2025,10,1,486,2.3071752
2025,11,0,499,2.2373202
2025,11,1,509,2.691381
2025,12,0,514,2.280127
2025,12,1,486,2.6625187
2026,1,0,498,2.270731
2026,1,1,502,2.5214345
2026,2,0,466,2.1077244
2026,2,1,534,2.6222935
2026,3,0,454,1.9265441
2026,3,1,546,2.6042225
2026,4,0,465,1.8538527
2026,4,1,535,2.160089
2026,5,0,465,1.6055692
2026,5,1,535,2.2879424
2026,6,0,449,1.6960657
2026,6,1,551,2.3714592
2026,7,0,471,1.7440482
2026,7,1,529,2.1045778
2026,8,0,454,1.7815331
2026,8,1,546,2.2555046
