anio,trimestre,tasa_actividad,tasa_empleo,tasa_desocupacion,tasa_informalidad,ingreso_ocupacion_principal_medio_todos_ocupados,ingreso_ocupacion_principal_medio_perceptores,pct_patron,pct_cuentapropia,pct_asalariado,pct_trabajador_familiar,pct_con_obra_social,pct_con_aguinaldo,pct_con_vacaciones_pagas,pct_sin_cobertura_salud,pct_secundario_completo_o_mas,tasa_analfabetismo,tasa_asistencia_escolar,hacinamiento_medio,pct_hacinamiento_bajo,pct_hacinamiento_moderado,pct_hacinamiento_critico,pct_agua_red_publica,pct_vivienda_propia,pct_inquilino,tamanio_hogar_medio,pct_hogares_ayuda_social_gobierno,pct_hogares_prestamo_bancario,pct_hogares_vendio_pertenencias,ingreso_total_individual_medio_todos,ingreso_total_individual_medio_perceptores,ipcf_medio
2012,2,0.5527785968005112,0.5208269333782037,0.057801918538894395,0.24165978454366938,3736.046119145077,3736.046119145077,0.035644526908268546,0.148944683701506,0.8143971166642461,0.001013672725979365,0.7641128665378303,0.7538823803440733,0.7602295763319467,0.2359992498065082,0.6641130287775346,0.004818917137418452,0.8489146505816008,1.0480778379563696,0.9507176538937223,0.041736911325993435,0.00754543478028421,0.9571653116724348,0.6600562432502753,0.24881757298613166,2.698599621480787,0.07541157727031333,0.054674997415946995,0.04559338767567105,2701.201338085895,2701.201338085895,2703.5352098395315
2012,3,0.5326691898408075,0.5007679669070515,0.059889371381306865,0.2525009241510196,3978.5375772517177,3978.5375772517177,0.035577795496411976,0.1627975890437742,0.8016246154598138,0.0,0.7465234772468302,0.7596407053273019,0.7719195283590508,0.2324802905740049,0.6758946346047748,0.013847881359821563,0.8276592660800763,1.0435950677383041,0.9573219890011805,0.03069663988943595,0.011981371109383548,0.9566993844379909,0.641190731118647,0.27153840369265586,2.7171172074469037,0.06658740873102555,0.08349656409687134,0.03853439663106028,3047.6232357413633,3047.6232357413633,3306.3297091357495
2012,4,0.5095658425530215,0.48470264009266284,0.04879291424988243,0.2759686521626418,3888.1869213971722,3888.1869213971722,0.026597110194819393,0.17620585504067848,0.7946647312557247,0.0025323035087774903,0.705952499651026,0.7245219055975433,0.7197479410533033,0.217944047648794,0.6664002064009678,0.014656451610433323,0.8472321168355947,1.075043518190327,0.9550546375970015,0.03041756849495856,0.01452779390803991,0.9559650776849772,0.6558869195532019,0.2589838040929626,2.6650766335224785,0.055741117836526834,0.07962315863997842,0.024176448115968443,2657.29277131384,2657.29277131384,2828.4397289316425
2013,1,0.5344878902605464,0.5124983614647348,0.04114130403420796,0.23891306227127337,4444.909164768436,4444.909164768436,0.024551119830769092,0.14005482551823956,0.8353940546509914,0.0,0.7575497795579633,0.7553597671671037,0.7621423219894533,0.2101397546092776,0.6839701905410706,0.0077687523855802885,0.8461686028873779,1.113110069647855,0.9518062878344073,0.033928032522057124,0.01426567964353553,0.9555013888101581,0.7216356782495323,0.2287745876084122,2.6998540332180716,0.05029122498724562,0.04670228445099484,0.030677824386372655,3402.057417359992,3402.057417359992,3486.4088443366686
2013,2,0.5837097456811974,0.5451687122465468,0.0660277367643957,0.2834673604541154,4631.54443494045,4631.54443494045,0.04688951182400483,0.16443228685879793,0.7877437986432811,0.0009344026739160505,0.731006851867779,0.7372423382357157,0.7422235601043548,0.2189896873465379,0.697601041103963,0.004943306833079064,0.7964220356874513,1.0705494261597324,0.9571910645062331,0.030893549376690744,0.011915386117076163,0.9528492691775728,0.6751645479882401,0.2598641914386394,2.6537055442420368,0.0466537854725151,0.11983333217495257,0.03957492059299828,3692.2761248124352,3692.2761248124352,3717.303784156927
2013,3,0.5684464101161165,0.5314699981761809,0.06504819325428124,0.24540358502378262,4902.628489559204,4902.628489559204,0.03747361918978741,0.16293760688160236,0.7948102011518906,0.004778572776719686,0.7698014636568394,0.7787388372779149,0.7878884915123734,0.22284712957143174,0.6869126043944043,0.006704054957748192,0.8388475598166492,1.0981012554888734,0.9630047645920095,0.016683215349558186,0.02031202005843233,0.9867966607502997,0.6373314457869894,0.25446661995226594,2.72201137507514,0.06717625675372856,0.06952383323670329,0.017489444798161776,4051.3021171499786,4051.3021171499786,4184.672061070526
2013,4,0.5554889226495613,0.5266324321602981,0.05194791347345693,0.27415977768844924,5284.499208507073,5284.499208507073,0.04308083349969212,0.15253460497051935,0.8043845615297885,0.0,0.7418389639442823,0.7480748728524739,0.7583690162014786,0.23447861068765816,0.6586619876359333,0.006915014910963631,0.8178443347510348,1.1556011873542649,0.9405996008293176,0.03677368711917744,0.022626712051504985,0.9659180643734799,0.6728857161909374,0.22661275887846533,2.783421249355107,0.05184413068427093,0.053851634255310935,0.031797171946892404,3904.0647597809702,3904.0647597809702,4005.356948006036
2014,1,0.5525503113528961,0.5136648924068151,0.0703744403851147,0.29377810688291284,5219.73872638635,5219.73872638635,0.04451892477486628,0.17443914054212653,0.7810419346830072,0.0,0.7195036934024455,0.7185139699109611,0.7325832144340696,0.24919503376343208,0.62627539409988,0.007903125031564883,0.8105920452573235,1.225838977739382,0.9038236767406913,0.07981662032566952,0.016359702933639208,0.9546435737517295,0.6917950612454817,0.20077724898769295,2.927972271117196,0.07664558750027164,0.03641045700501988,0.021553628731410854,3996.391661220225,3996.391661220225,4088.1728644485424
2014,2,0.5325282337759459,0.4893207868627545,0.08113644342728024,0.308497046346873,5550.278602906112,5550.278602906112,0.035128442317305095,0.1620826558343436,0.8004676897619608,0.0023212120863904577,0.7137719908985852,0.7091459169244683,0.7160617001270465,0.2978494388785337,0.5784215744118933,0.013256575621046481,0.7989677190361927,1.209338105437285,0.9063216745591314,0.0764678087459776,0.017210516694890994,0.9641200390426952,0.6640224323047261,0.22633381504385405,2.8421978416149605,0.08758738907149435,0.054725304288143366,0.03068576493676256,3927.773366489453,3927.773366489453,4040.037883475882
2014,3,0.5378627599138052,0.49370609800464554,0.08209652201285676,0.319774962099612,5748.392464402322,5748.392464402322,0.02755135588608743,0.15734117086885543,0.8151074732450572,0.0,0.7062476529576212,0.7160843683500466,0.7296833057483414,0.2789277222870902,0.5853977213337515,0.01390031623429323,0.8256910498767142,1.240073433761803,0.9285721776152741,0.03520006711432856,0.03622775527039734,0.9694769626571681,0.6798262018533342,0.20286004914726352,2.8889397683856557,0.0886922842990922,0.04477085000996228,0.02780700435893582,4571.283502644615,4571.283502644615,4945.075004564124
