fecha,icg,desocupacion,salario_real,tc_oficial,reservas,ipc,icc,resultado_fiscal,emae,tasa_informalidad,pct_sin_cobertura_salud,hacinamiento_medio,pct_hogares_ayuda_social_gobierno,pct_hogares_prestamo_bancario,pct_hogares_vendio_pertenencias
2001-01-01,,,11131.225950265985,1.0,,7.97531200935497,,-7474.315729601281,,,,,,,
2001-02-01,,,11175.234105830374,1.0,,7.9843517509354225,,-7465.853441767033,,,,,,,
2001-03-01,,,11247.639302313626,1.0,,7.9316199250494455,38.989879290429045,-7515.488710161341,,,,,,,
2001-04-01,,,11178.096363073011,1.0,,7.916553689082023,40.69387620930232,17169.087122778157,,,,,,,
2001-05-01,,,11139.931430943961,1.0,,7.922580183468992,38.17111388888888,17156.02705840788,,,,,,,
2001-06-01,,,11272.604615722434,1.0,,7.8871745289455495,40.569745000000005,17233.040742433204,,,,,,,
2001-07-01,,,11213.336767712466,1.0,,7.859301992405818,37.057461,6476.40210914186,,,,,,,
2001-08-01,,,11247.195358887779,1.0,,7.820883090688891,37.034254,6508.216452001254,,,,,,,
2001-09-01,,,11254.678233240978,1.0,,7.786984059762192,32.901763,6536.548631583342,,,,,,,
2001-10-01,,,11476.332049228435,1.0,,7.670220731014669,32.053954999999995,-7544.763316393432,,,,,,,
2001-11-01,1.0365229845046997,,11580.074005696748,1.0,,7.563250455645972,34.348935,-7651.47212027071,,,,,,,
2001-12-01,0.7566561698913574,,11530.538376619686,1.0,,7.549690843275291,31.1854,-7665.214536770897,,,,,,,
2002-01-01,1.3573884963989258,,10905.814088906283,2.05,,8.03030377063606,34.190856000000004,-27580.52575917152,,,,,,,
2002-02-01,0.9825090169906616,,9833.75511194569,2.15,,9.020155473695702,30.822415,-24553.90050048174,,,,,,,
2002-03-01,0.8615673184394836,,8689.52257944173,3.0,,10.154643042042599,32.760096,-21810.712506881926,,,,,,,
2002-04-01,0.7832531332969666,,7244.509410412367,2.98,,12.176531908870665,30.114207,6058.375287158581,,,,,,,
2002-05-01,0.4661578834056854,,6449.243963117793,3.6,,13.677882323024292,29.343189,5393.378759796844,,,,,,,
2002-06-01,0.4826169013977051,,5890.503564074216,3.8,,14.84626892229789,31.600622,4968.925215223832,,,,,,,
2002-07-01,0.40158095955848694,,5836.39510283793,3.7,,15.536302529605829,31.753372,4141.268482471571,,,,,,,
2002-08-01,0.42703524231910706,,5424.716515851737,3.63,,16.319746799911783,32.92,3942.4631269614893,,,,,,,
2002-09-01,0.32289862632751465,,5334.949865927673,3.75,,16.71749542945173,28.438478,3848.662634394994,,,,,,,
2002-10-01,0.5072000622749329,,5361.670908377844,3.52,,16.800359727272557,36.44447099999999,6177.843908396463,,,,,,,
2002-11-01,0.7188579440116882,,5415.021180134961,3.64,,16.521634361875243,39.173387,6282.066151972366,,,,,,,
2002-12-01,0.7020755410194397,,5473.54135480961,3.37,,16.455342923618584,37.059354,6307.37387131743,,,,,,,
2003-01-01,0.907289981842041,0.204,5337.662992074589,3.21,9914.678687358575,16.52464760906873,41.5096247,8688.838842239722,,,,,,,
2003-02-01,0.8280309438705444,0.204,5368.721608217118,3.19,9652.298526595949,16.588679111930272,39.5010994,8655.300342553497,,,,,,,
2003-03-01,0.8852465152740479,0.204,5414.8336442310465,2.98,10372.90784604361,16.474929030376234,38.362726,8715.060303766371,,,,,,,
2003-04-01,0.8431708216667175,0.178,5502.298577894713,2.82,10588.020444040158,16.173604311027788,40.1270564,18392.313443526844,,,,,,,
2003-05-01,1.2190961837768555,0.178,5520.89535524905,2.85,11086.90241399202,16.07040059465095,44.5153882,18510.428426968603,,,,,,,
2003-06-01,3.142688035964966,0.178,5631.784451636535,2.8,11763.2240455048,16.048554552498185,54.418687000000006,18535.625686843843,,,,,,,
