nivel,anio,agrupacion,votos,share,es_oficialismo,vparty_economico,vparty_progresismo,distancia_economico_al_oficialismo,distancia_progresismo_al_oficialismo,distancia_euclidea_al_oficialismo
provincial,2005,MOV.SOCIALISTA DE LOS TRABAJADORES,5747,1.9417442925151451,False,-1.991,2.325,-0.4500000000000002,0.6560000000000001,0.7955098993727232
provincial,2005,AFIRMACION PARA UNA REPUBLICA IGUALITARIA,37005,12.502914136858005,False,0.452,0.299,1.9929999999999999,-1.37,2.4184600472201314
provincial,2005,FRENTE PARA LA VICTORIA,85334,28.831878798936383,True,-1.541,1.669,0.0,0.0,0.0
provincial,2005,PROPUESTA REPUBLICANA,19428,6.564156623452974,False,1.401,-0.142,2.942,-1.811,3.4547192360595673
provincial,2005,FRENTE JUSTICIALISTA,41936,14.168955742285561,False,-1.659,1.782,-0.1180000000000001,0.11299999999999999,0.16337992532744047
provincial,2005,ENCUENTRO AMPLIO,6610,2.2333269137854725,False,-1.991,1.557,-0.4500000000000002,-0.1120000000000001,0.463728368767752
provincial,2005,CONFEDERACION VECINAL,4728,1.5974538045957207,False,,,,,
provincial,2005,FTE. BONAERENSE AUTONOMISTA AUTENTICO,49543,16.739139983309176,False,-0.416,0.268,1.125,-1.401,1.7967821236866754
municipal,2005,FRENTE PARA LA VICTORIA,83776,28.38459609820225,True,-1.541,1.669,0.0,0.0,0.0
municipal,2005,FRENTE RENOVADOR PLATENSE,46461,15.741700717610946,False,0.376,-0.016,1.9169999999999998,-1.685,2.552276238967875
municipal,2005,FRENTE JUSTICIALISTA,41369,14.01645287417075,False,-1.659,1.782,-0.1180000000000001,0.11299999999999999,0.16337992532744047
municipal,2005,AFIRMACION PARA UNA REPUBLICA IGUALITARIA,35773,12.120442086289497,False,0.452,0.299,1.9929999999999999,-1.37,2.4184600472201314
municipal,2005,UNION CIVICA RADICAL,23160,7.846963875505682,False,0.032,0.829,1.573,-0.8400000000000001,1.783235542490111
municipal,2005,PROPUESTA REPUBLICANA,19388,6.5689523151253955,False,1.401,-0.142,2.942,-1.811,3.4547192360595673
municipal,2005,ENCUENTRO AMPLIO,8470,2.8697661496344185,False,-1.991,1.557,-0.4500000000000002,-0.1120000000000001,0.463728368767752
municipal,2005,MOV.SOCIALISTA DE LOS TRABAJADORES,5623,1.905158802762023,False,-1.991,2.325,-0.4500000000000002,0.6560000000000001,0.7955098993727232
municipal,2005,CONFEDERACION VECINAL,4701,1.5927710353519955,False,,,,,
municipal,2005,PARTIDO HUMANISTA,4659,1.578540789981907,False,-1.412,1.557,0.129,-0.1120000000000001,0.17083617883809046
municipal,2005,PARTIDO OBRERO,4649,1.5751526363223627,False,-1.991,2.325,-0.4500000000000002,0.6560000000000001,0.7955098993727232
provincial,2007,UNION CIVICA RADICAL,14159,4.447103681997067,False,0.039,0.874,1.698,-0.908,1.9255305762308736
provincial,2007,UNION DE CENTRO DEMOCRATICO,6177,1.9400917751038829,False,2.365,-1.02,4.024,-2.802,4.903445727241202
provincial,2007,PARTIDO SOCIALISTA AUTENTICO,10362,3.254529864598743,False,-1.683,2.154,-0.02400000000000002,0.3719999999999999,0.3727733896082175
provincial,2007,FRENTE PARA LA VICTORIA,131171,41.19860421436805,True,-1.659,1.782,0.0,0.0,0.0
provincial,2007,PARTIDO UNIDAD FEDERALISTA (PA.U.FE.),5394,1.694164648682264,False,1.579,-1.862,3.238,-3.644,4.874769738151741
provincial,2007,SOCIEDAD JUSTA,10971,3.4458065184822244,False,0.039,0.874,1.698,-0.908,1.9255305762308736
provincial,2007,UNION PRO,52357,16.444452819995792,False,1.401,-0.142,3.06,-1.924,3.614605925962054
provincial,2007,FRENTE COALICION CIVICA,71106,22.333198277567863,False,0.452,0.299,2.111,-1.483,2.5798468946819306
municipal,2007,PARTIDO PROGRESO SOCIAL,82711,25.75358929889184,False,-0.416,0.268,1.243,-1.514,1.9588887155731947
municipal,2007,PARTIDO JUSTICIALISTA,67484,21.012383120097894,True,-1.659,1.782,0.0,0.0,0.0
municipal,2007,FRENTE COALICION CIVICA,50039,15.580561895361544,False,0.452,0.299,2.111,-1.483,2.5798468946819306
municipal,2007,FRENTE GRANDE,32993,10.27297665048589,False,-0.98,1.195,0.679,-0.587,0.8975577975818605
municipal,2007,UNION PRO,25243,7.859871778504996,False,1.401,-0.142,3.06,-1.924,3.614605925962054
municipal,2007,UNION CIVICA RADICAL,13852,4.313074669248949,False,0.039,0.874,1.698,-0.908,1.9255305762308736
municipal,2007,SOCIEDAD JUSTA,9939,3.09469023517653,False,0.039,0.874,1.698,-0.908,1.9255305762308736
municipal,2007,PARTIDO SOCIALISTA AUTENTICO,8944,2.7848787064512415,False,-1.683,2.154,-0.02400000000000002,0.3719999999999999,0.3727733896082175
municipal,2007,PARTIDO SOCIALISTA,5658,1.7617222407313422,False,-1.683,2.154,-0.02400000000000002,0.3719999999999999,0.3727733896082175
municipal,2007,UNION DE CENTRO DEMOCRATICO,5046,1.5711647979374959,False,2.365,-1.02,4.024,-2.802,4.903445727241202
provincial,2009,UNION PRO,89572,27.36092274232372,False,1.401,-0.142,3.065,-1.9729999999999999,3.6451274326146677
provincial,2009,ACUERDO CIVICO Y SOCIAL,85199,26.025133487286634,False,-0.692,1.546,0.972,-0.2849999999999999,1.0129210235748887
provincial,2009,FRENTE JUSTICIALISTA PARA LA VICTORIA,69510,21.23272607309116,True,-1.664,1.831,0.0,0.0,0.0
provincial,2009,FRENTE RENOVADOR PLATENSE,43434,13.267475532421832,False,0.376,-0.016,2.04,-1.847,2.75191006393741
provincial,2009,NUEVO ENCUENTRO,15567,4.755140940581358,False,-1.412,1.557,0.252,-0.274,0.3722633476451852
provincial,2009,FRENTE DE IZQUIERDA Y LOS TRABAJADORES,6552,2.001392910817052,False,-1.991,2.325,-0.3270000000000002,0.4940000000000002,0.5924229907760167
provincial,2009,PARTIDO RENOVADOR DE LA PROVINCIA DE BUENOS,5894,1.8003983236196133,False,0.376,-0.016,2.04,-1.847,2.75191006393741
municipal,2009,UNION PRO,88391,27.21196709602739,False,1.401,-0.142,3.065,-1.9729999999999999,3.6451274326146677
municipal,2009,ACUERDO CIVICO Y SOCIAL,83046,25.566460606359136,False,-0.692,1.546,0.972,-0.2849999999999999,1.0129210235748887
municipal,2009,FRENTE JUSTICIALISTA PARA LA VICTORIA. (*),67445,20.763551954289092,True,-1.664,1.831,0.0,0.0,0.0
municipal,2009,FRENTE RENOVADOR PLATENSE. (*),45402,13.977415461911683,False,0.376,-0.016,2.04,-1.847,2.75191006393741
municipal,2009,NUEVO ENCUENTRO,14779,4.5498485333596035,False,-1.412,1.557,0.252,-0.274,0.3722633476451852
municipal,2009,FRENTE DE IZQUIERDA Y LOS TRABAJADORES,6695,2.061116173681748,False,-1.991,2.325,-0.3270000000000002,0.4940000000000002,0.5924229907760167
municipal,2009,PARTIDO RENOVADOR DE LA PROVINCIA DE BUENOS,5831,1.79512597591311,False,0.376,-0.016,2.04,-1.847,2.75191006393741
nacional,2011,ALIANZA FRENTE PARA LA VICTORIA,153609,43.294776182503846,True,-1.686,2.097,0.0,0.0,0.0
nacional,2011,ALIANZA FRENTE AMPLIO PROGRESISTA,78714,22.1855816549135,False,-1.268,1.642,0.4179999999999999,-0.45500000000000007,0.6178583980168919
nacional,2011,ALIANZA UNIÓN PARA EL DESARROLLO SOCIAL,42476,11.971882592348322,False,0.185,0.925,1.871,-1.172,2.207764706665998
nacional,2011,ALIANZA COMPROMISO FEDERAL,30978,8.731165339150728,False,0.447,-0.547,2.133,-2.644,3.3971201038526737
nacional,2011,ALIANZA FRENTE POPULAR,27275,7.687472871887666,False,-1.412,1.557,0.274,-0.54,0.6055377775168119
nacional,2011,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,12654,3.566536451727462,False,-1.991,2.325,-0.30500000000000016,0.2280000000000002,0.38080047268878253
nacional,2011,COALICIÓN CÍVICA - AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA ARI,9092,2.5625849074684752,False,0.452,0.299,2.138,-1.798,2.793536826318923
provincial,2011,ALIANZA FRENTE PARA LA VICTORIA,150988,45.639012063561154,True,-1.686,2.097,0.0,0.0,0.0
provincial,2011,ALIANZA UNIÓN PARA EL DESARROLLO SOCIAL,61298,18.52849339995345,False,0.185,0.925,1.871,-1.172,2.207764706665998
provincial,2011,ALIANZA FRENTE AMPLIO PROGRESISTA,58629,17.721737080261523,False,-1.268,1.642,0.4179999999999999,-0.45500000000000007,0.6178583980168919
provincial,2011,ALIANZA FRENTE POPULAR,19745,5.968304058567667,False,-1.412,1.557,0.274,-0.54,0.6055377775168119
provincial,2011,NUEVO ENCUENTRO,16923,5.1153005613137825,False,-1.991,1.557,-0.30500000000000016,-0.54,0.6201814250685037
provincial,2011,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,13642,4.123555531374025,False,-1.991,2.325,-0.30500000000000016,0.2280000000000002,0.38080047268878253
provincial,2011,COALICIÓN CÍVICA - AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA ARI,9606,2.903597304968398,False,0.452,0.299,2.138,-1.798,2.793536826318923
municipal,2011,ALIANZA FRENTE PARA LA VICTORIA,160079,45.44032655471154,True,-1.686,2.097,0.0,0.0,0.0
municipal,2011,ALIANZA FRENTE AMPLIO PROGRESISTA,45165,12.820621998160576,False,-1.268,1.642,0.4179999999999999,-0.45500000000000007,0.6178583980168919
municipal,2011,ALIANZA UNIÓN PARA EL DESARROLLO SOCIAL,37390,10.613595848803806,False,0.185,0.925,1.871,-1.172,2.207764706665998
municipal,2011,FRENTE SOCIAL DE LA PCIA. BS.AS.,30037,8.52635941456325,False,-1.686,2.097,0.0,0.0,0.0
municipal,2011,ALIANZA FRENTE POPULAR,24291,6.8952890281704535,False,-1.412,1.557,0.274,-0.54,0.6055377775168119
municipal,2011,ALIANZA COMPROMISO FEDERAL,16610,4.714945895924879,False,0.447,-0.547,2.133,-2.644,3.3971201038526737
municipal,2011,COALICIÓN CÍVICA - AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA ARI,13177,3.740448047597961,False,0.452,0.299,2.138,-1.798,2.793536826318923
