v2paenname,v2paorname,v2pashname,year,historical_date,v2pavote,v2pariglef,v2pariglef_codelow,v2pariglef_codehigh,v2pariglef_osp,v2pariglef_osp_codelow,v2pariglef_osp_codehigh,v2pawelf,v2pawelf_codelow,v2pawelf_codehigh,v2pawelf_osp,v2pawelf_osp_codelow,v2pawelf_osp_codehigh,v2pawomlab,v2pawomlab_codelow,v2pawomlab_codehigh,v2pawomlab_osp,v2pawomlab_osp_codelow,v2pawomlab_osp_codehigh,v2palgbt,v2palgbt_codelow,v2palgbt_codehigh,v2palgbt_osp,v2palgbt_osp_codelow,v2palgbt_osp_codehigh,v2paimmig,v2paimmig_codelow,v2paimmig_codehigh,v2paimmig_osp,v2paimmig_osp_codelow,v2paimmig_osp_codehigh,v2parelig,v2parelig_codelow,v2parelig_codehigh,v2parelig_osp,v2parelig_osp_codelow,v2parelig_osp_codehigh,v2paanteli,v2paanteli_codelow,v2paanteli_codehigh,v2paanteli_osp,v2paanteli_osp_codelow,v2paanteli_osp_codehigh,v2papeople,v2papeople_codelow,v2papeople_codehigh,v2papeople_osp,v2papeople_osp_codelow,v2papeople_osp_codehigh,v2paclient,v2paclient_codelow,v2paclient_codehigh,v2paclient_osp,v2paclient_osp_codelow,v2paclient_osp_codehigh,v2xpa_popul,v2xpa_popul_codelow,v2xpa_popul_codehigh
Republican Proposal,,PRO,2013.0,2013-10-27,7.7,1.535,1.151,1.828,4.278,4.043,4.559,-1.514,-1.919,-1.007,1.499,1.122,1.952,-0.346,-0.877,0.078,2.44,2.187,2.641,0.198,-0.203,0.604,1.993,1.817,2.169,-1.699,-2.077,-1.195,1.349,1.147,1.62,0.898,0.473,1.26,3.566,3.405,3.764,-1.239,-1.662,-0.765,0.598,0.288,0.817,-2.232,-2.718,-1.675,0.605,0.296,0.836,-0.755,-1.091,-0.425,1.079,0.842,1.348,0.138,0.087,0.187
Civic Coalition ARI,,CC,2015.0,2015-10-25,,0.452,0.181,0.794,3.363,3.143,3.697,0.484,-0.044,0.876,3.425,2.972,3.808,0.33,-0.192,0.732,2.77,2.558,3.005,1.769,1.354,2.223,2.763,2.536,3.029,-0.232,-0.67,0.14,1.995,1.823,2.121,-0.671,-0.986,-0.324,2.556,2.342,2.857,0.111,-0.249,0.519,1.646,1.311,1.988,-0.967,-1.454,-0.525,1.418,1.071,1.763,-2.518,-2.974,-1.938,0.15,0.003,0.219,0.372,0.308,0.434
Front for Victory,,FPV-PJ,2015.0,2015-10-25,37.6,-1.659,-1.978,-1.327,1.551,1.328,1.792,0.702,0.233,1.149,3.616,3.224,4.019,1.534,1.089,2.088,3.346,3.108,3.567,2.941,2.483,3.419,3.431,3.204,3.677,2.547,2.099,3.034,3.255,3.022,3.474,0.822,0.452,1.185,3.526,3.363,3.715,2.797,2.327,3.265,3.702,3.563,3.921,1.184,0.743,1.713,3.177,2.871,3.534,0.504,0.155,0.838,2.131,1.851,2.425,0.848,0.799,0.908
Let’s change,,C,2015.0,2015-10-25,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radical Civic Union,,UCR,2015.0,2015-10-25,,0.483,0.15,0.78,3.387,3.049,3.626,-0.391,-0.839,0.061,2.591,2.136,3.015,0.579,0.062,0.989,2.889,2.656,3.102,1.576,1.205,2.015,2.655,2.434,2.884,-0.173,-0.592,0.235,2.016,1.869,2.172,1.678,1.112,2.151,3.843,3.768,3.99,-0.662,-1.029,-0.176,1.001,0.596,1.244,-1.205,-1.674,-0.74,1.243,0.91,1.569,-0.233,-0.586,0.108,1.503,1.206,1.78,0.266,0.2,0.324
Renewal Front,Alternative translation: Front for Reform,RF,2015.0,2015-10-25,,0.376,0.05,0.655,3.286,2.978,3.538,-0.222,-0.629,0.28,2.753,2.401,3.29,0.229,-0.27,0.633,2.717,2.512,2.951,0.595,0.208,1.099,2.163,1.966,2.362,-0.997,-1.476,-0.653,1.697,1.538,1.904,0.491,0.169,0.865,3.35,3.18,3.573,-0.228,-0.653,0.131,1.352,1.012,1.671,-0.082,-0.506,0.41,2.132,1.767,2.546,0.085,-0.229,0.452,1.773,1.485,2.067,0.407,0.336,0.477
Republican Proposal,,PRO,2015.0,2015-10-25,,1.427,1.053,1.713,4.198,3.942,4.458,-1.398,-1.899,-0.932,1.604,1.193,2.079,0.15,-0.35,0.632,2.682,2.417,2.894,0.692,0.259,1.089,2.208,2.015,2.388,-1.453,-1.884,-1.033,1.479,1.252,1.682,0.615,0.251,0.946,3.418,3.235,3.606,-1.128,-1.539,-0.657,0.669,0.354,0.914,-2.232,-2.718,-1.675,0.605,0.296,0.836,-0.343,-0.642,0.015,1.415,1.151,1.69,0.148,0.096,0.203
alliance: United for a New Alternative,,United for a...,2015.0,2015-10-25,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1País,,1P,2017.0,2017-10-22,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citizen's Unity,,CU,2017.0,2017-10-22,19.9,-1.662,-2.031,-1.351,1.551,1.279,1.759,0.526,0.095,1.007,3.462,3.08,3.889,1.39,0.905,1.888,3.275,3.071,3.532,2.458,2.022,2.817,3.16,2.923,3.379,1.59,1.217,2.044,2.774,2.548,2.961,0.694,0.354,1.081,3.458,3.275,3.646,1.847,1.409,2.245,3.144,2.863,3.474,0.193,-0.285,0.628,2.381,1.96,2.74,0.21,-0.107,0.585,1.885,1.595,2.189,0.67,0.598,0.738
