v2paenname,v2paenname_espaniol,v2paorname,v2pashname,year,historical_date,v2pavote,v2pariglef,v2pariglef_codelow,v2pariglef_codehigh,v2pariglef_osp,v2pariglef_osp_codelow,v2pariglef_osp_codehigh,v2pawelf,v2pawelf_codelow,v2pawelf_codehigh,v2pawelf_osp,v2pawelf_osp_codelow,v2pawelf_osp_codehigh,v2pawomlab,v2pawomlab_codelow,v2pawomlab_codehigh,v2pawomlab_osp,v2pawomlab_osp_codelow,v2pawomlab_osp_codehigh,v2palgbt,v2palgbt_codelow,v2palgbt_codehigh,v2palgbt_osp,v2palgbt_osp_codelow,v2palgbt_osp_codehigh,v2paimmig,v2paimmig_codelow,v2paimmig_codehigh,v2paimmig_osp,v2paimmig_osp_codelow,v2paimmig_osp_codehigh,v2parelig,v2parelig_codelow,v2parelig_codehigh,v2parelig_osp,v2parelig_osp_codelow,v2parelig_osp_codehigh,v2paanteli,v2paanteli_codelow,v2paanteli_codehigh,v2paanteli_osp,v2paanteli_osp_codelow,v2paanteli_osp_codehigh,v2papeople,v2papeople_codelow,v2papeople_codehigh,v2papeople_osp,v2papeople_osp_codelow,v2papeople_osp_codehigh,v2paclient,v2paclient_codelow,v2paclient_codehigh,v2paclient_osp,v2paclient_osp_codelow,v2paclient_osp_codehigh,v2xpa_popul,v2xpa_popul_codelow,v2xpa_popul_codehigh
"Aliance for Work, Justice, and Education","Alianza para el Trabajo, la Justicia y la Educación",,ALIANZA,2001.0,2001-10-14,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Republican Proposal,Propuesta Republicana,,PRO,2009.0,2009-06-28,,1.519,1.189,1.868,4.266,4.009,4.53,-1.514,-1.919,-1.007,1.499,1.122,1.952,-0.346,-0.877,0.078,2.44,2.187,2.641,0.015,-0.329,0.456,1.912,1.768,2.119,-1.454,-1.881,-1.02,1.475,1.276,1.713,0.89,0.533,1.303,3.558,3.387,3.743,-1.243,-1.626,-0.736,0.593,0.299,0.829,-2.237,-2.704,-1.651,0.608,0.336,0.879,-0.774,-1.104,-0.427,1.067,0.823,1.329,0.139,0.087,0.187
Federal Peronism / Dissident Peronism,Peronismo Federal / Peronismo Disidente,,PF-PJ,2011.0,2011-10-23,,0.447,0.151,0.775,3.356,3.025,3.594,-0.206,-0.646,0.283,2.769,2.314,3.224,-0.814,-1.251,-0.303,2.219,2.019,2.46,-0.757,-1.121,-0.34,1.534,1.325,1.757,-0.998,-1.44,-0.632,1.697,1.547,1.904,0.381,0.062,0.739,3.284,3.098,3.493,-0.074,-0.439,0.377,1.484,1.108,1.806,-0.767,-1.185,-0.237,1.573,1.191,1.927,0.539,0.191,0.879,2.16,1.871,2.454,0.375,0.316,0.442
Front for Victory,Frente para la Victoria,,FPV-PJ,2011.0,2011-10-23,,-1.686,-1.998,-1.334,1.534,1.314,1.774,0.702,0.233,1.149,3.616,3.224,4.019,1.427,0.933,1.953,3.292,3.092,3.57,3.341,2.785,3.758,3.622,3.465,3.866,2.701,2.148,3.071,3.333,3.156,3.601,0.919,0.546,1.294,3.573,3.435,3.775,3.482,2.848,3.965,3.904,3.847,4.0,1.194,0.733,1.681,3.179,2.845,3.508,0.506,0.211,0.87,2.131,1.877,2.426,0.871,0.823,0.925
Generation for a National Encounter,Generación para un Encuentro Nacional,,GEN,2011.0,2011-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Popular Union,Unión Popular,,UP,2011.0,2011-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radical Civic Union,Unión Cívica Radical,,UCR,2011.0,2011-10-23,,0.185,-0.18,0.452,3.113,2.768,3.349,0.091,-0.358,0.585,3.054,2.643,3.534,0.203,-0.254,0.709,2.709,2.487,2.951,1.111,0.68,1.539,2.407,2.186,2.613,0.751,0.294,1.13,2.372,2.187,2.547,1.634,1.062,2.06,3.834,3.767,3.99,0.088,-0.326,0.451,1.62,1.264,1.946,-1.138,-1.681,-0.703,1.286,0.886,1.577,-0.349,-0.653,0.017,1.408,1.158,1.706,0.351,0.28,0.41
Republican Proposal,Propuesta Republicana,,PRO,2011.0,2011-10-23,,1.535,1.151,1.828,4.278,4.043,4.559,-1.514,-1.919,-1.007,1.499,1.122,1.952,-0.346,-0.877,0.078,2.44,2.187,2.641,0.26,-0.163,0.648,2.018,1.842,2.198,-1.454,-1.881,-1.02,1.475,1.276,1.713,0.589,0.238,0.91,3.406,3.252,3.613,-1.239,-1.662,-0.765,0.598,0.288,0.817,-2.246,-2.762,-1.713,0.6,0.322,0.864,-0.757,-1.083,-0.42,1.084,0.837,1.339,0.139,0.084,0.187
Socialist Party,Partido Socialista,,PS,2011.0,2011-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alliance: Frente Amplio Progresista,alianza: Frente Amplio Progresista,,Frente Ampli...,2011.0,2011-10-23,,-1.268,-1.624,-0.963,1.844,1.548,2.065,0.82,0.381,1.294,3.717,3.346,4.109,1.706,1.19,2.218,3.422,3.213,3.675,1.757,1.343,2.17,2.759,2.526,2.992,1.699,1.235,2.094,2.833,2.614,3.042,1.406,0.972,1.861,3.765,3.659,3.932,0.847,0.478,1.255,2.308,1.952,2.644,-0.535,-0.975,-0.045,1.757,1.418,2.178,-1.006,-1.335,-0.682,0.898,0.642,1.101,0.492,0.418,0.557
Front for Victory,Frente para la Victoria,,FPV-PJ,2013.0,2013-10-27,30.7,-1.663,-2.055,-1.404,1.545,1.295,1.748,0.702,0.233,1.149,3.616,3.224,4.019,1.426,0.957,1.908,3.298,3.064,3.516,3.175,2.635,3.597,3.546,3.34,3.781,2.701,2.148,3.071,3.333,3.156,3.601,0.829,0.464,1.205,3.532,3.364,3.729,3.482,2.848,3.965,3.904,3.847,4.0,1.192,0.74,1.713,3.178,2.84,3.512,0.506,0.211,0.87,2.131,1.877,2.426,0.872,0.823,0.928
"Progressive, Civic and Social Front","Frente Progresista, Cívico y Social",,FPCyS,2013.0,2013-10-27,25.2,-0.692,-0.963,-0.341,2.32,2.034,2.577,1.27,0.823,1.721,4.08,3.736,4.397,1.966,1.406,2.414,3.541,3.347,3.769,1.921,1.524,2.353,2.851,2.626,3.098,1.025,0.581,1.463,2.501,2.266,2.68,1.271,0.802,1.66,3.72,3.597,3.908,0.359,-0.001,0.776,1.867,1.538,2.24,-0.383,-0.795,0.175,1.879,1.438,2.245,-0.862,-1.221,-0.566,1.002,0.742,1.223,0.461,0.393,0.531
Renewal Front,Frente Renovador,Alternative translation: Front for Reform,RF,2013.0,2013-10-27,17.5,0.376,0.05,0.655,3.286,2.978,3.538,-0.222,-0.629,0.28,2.753,2.401,3.29,0.094,-0.363,0.53,2.657,2.425,2.861,0.39,-0.058,0.789,2.074,1.889,2.256,-1.012,-1.422,-0.585,1.692,1.537,1.907,0.466,0.109,0.807,3.333,3.153,3.55,-0.454,-0.838,-0.022,1.17,0.852,1.508,-0.187,-0.656,0.286,2.045,1.643,2.443,0.085,-0.229,0.452,1.773,1.485,2.067,0.363,0.304,0.448
Republican Proposal,Propuesta Republicana,,PRO,2013.0,2013-10-27,7.7,1.535,1.151,1.828,4.278,4.043,4.559,-1.514,-1.919,-1.007,1.499,1.122,1.952,-0.346,-0.877,0.078,2.44,2.187,2.641,0.198,-0.203,0.604,1.993,1.817,2.169,-1.699,-2.077,-1.195,1.349,1.147,1.62,0.898,0.473,1.26,3.566,3.405,3.764,-1.239,-1.662,-0.765,0.598,0.288,0.817,-2.232,-2.718,-1.675,0.605,0.296,0.836,-0.755,-1.091,-0.425,1.079,0.842,1.348,0.138,0.087,0.187
Civic Coalition ARI,Coalición Cívica ARI,,CC,2015.0,2015-10-25,,0.452,0.181,0.794,3.363,3.143,3.697,0.484,-0.044,0.876,3.425,2.972,3.808,0.33,-0.192,0.732,2.77,2.558,3.005,1.769,1.354,2.223,2.763,2.536,3.029,-0.232,-0.67,0.14,1.995,1.823,2.121,-0.671,-0.986,-0.324,2.556,2.342,2.857,0.111,-0.249,0.519,1.646,1.311,1.988,-0.967,-1.454,-0.525,1.418,1.071,1.763,-2.518,-2.974,-1.938,0.15,0.003,0.219,0.372,0.308,0.434
Front for Victory,Frente para la Victoria,,FPV-PJ,2015.0,2015-10-25,37.6,-1.659,-1.978,-1.327,1.551,1.328,1.792,0.702,0.233,1.149,3.616,3.224,4.019,1.534,1.089,2.088,3.346,3.108,3.567,2.941,2.483,3.419,3.431,3.204,3.677,2.547,2.099,3.034,3.255,3.022,3.474,0.822,0.452,1.185,3.526,3.363,3.715,2.797,2.327,3.265,3.702,3.563,3.921,1.184,0.743,1.713,3.177,2.871,3.534,0.504,0.155,0.838,2.131,1.851,2.425,0.848,0.799,0.908
Let’s change,Cambiemos,,C,2015.0,2015-10-25,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radical Civic Union,Unión Cívica Radical,,UCR,2015.0,2015-10-25,,0.483,0.15,0.78,3.387,3.049,3.626,-0.391,-0.839,0.061,2.591,2.136,3.015,0.579,0.062,0.989,2.889,2.656,3.102,1.576,1.205,2.015,2.655,2.434,2.884,-0.173,-0.592,0.235,2.016,1.869,2.172,1.678,1.112,2.151,3.843,3.768,3.99,-0.662,-1.029,-0.176,1.001,0.596,1.244,-1.205,-1.674,-0.74,1.243,0.91,1.569,-0.233,-0.586,0.108,1.503,1.206,1.78,0.266,0.2,0.324
Renewal Front,Frente Renovador,Alternative translation: Front for Reform,RF,2015.0,2015-10-25,,0.376,0.05,0.655,3.286,2.978,3.538,-0.222,-0.629,0.28,2.753,2.401,3.29,0.229,-0.27,0.633,2.717,2.512,2.951,0.595,0.208,1.099,2.163,1.966,2.362,-0.997,-1.476,-0.653,1.697,1.538,1.904,0.491,0.169,0.865,3.35,3.18,3.573,-0.228,-0.653,0.131,1.352,1.012,1.671,-0.082,-0.506,0.41,2.132,1.767,2.546,0.085,-0.229,0.452,1.773,1.485,2.067,0.407,0.336,0.477
Republican Proposal,Propuesta Republicana,,PRO,2015.0,2015-10-25,,1.427,1.053,1.713,4.198,3.942,4.458,-1.398,-1.899,-0.932,1.604,1.193,2.079,0.15,-0.35,0.632,2.682,2.417,2.894,0.692,0.259,1.089,2.208,2.015,2.388,-1.453,-1.884,-1.033,1.479,1.252,1.682,0.615,0.251,0.946,3.418,3.235,3.606,-1.128,-1.539,-0.657,0.669,0.354,0.914,-2.232,-2.718,-1.675,0.605,0.296,0.836,-0.343,-0.642,0.015,1.415,1.151,1.69,0.148,0.096,0.203
alliance: United for a New Alternative,alianza: Unidos por una Nueva Alternativa,,United for a...,2015.0,2015-10-25,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1País,1País,,1P,2017.0,2017-10-22,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citizen's Unity,Unidad Ciudadana,,CU,2017.0,2017-10-22,19.9,-1.662,-2.031,-1.351,1.551,1.279,1.759,0.526,0.095,1.007,3.462,3.08,3.889,1.39,0.905,1.888,3.275,3.071,3.532,2.458,2.022,2.817,3.16,2.923,3.379,1.59,1.217,2.044,2.774,2.548,2.961,0.694,0.354,1.081,3.458,3.275,3.646,1.847,1.409,2.245,3.144,2.863,3.474,0.193,-0.285,0.628,2.381,1.96,2.74,0.21,-0.107,0.585,1.885,1.595,2.189,0.67,0.598,0.738
Civic Coalition ARI,Coalición Cívica ARI,,CC,2017.0,2017-10-22,,0.452,0.181,0.794,3.363,3.143,3.697,0.058,-0.323,0.593,3.021,2.658,3.528,0.208,-0.2,0.694,2.714,2.506,2.939,1.785,1.329,2.195,2.771,2.502,2.992,-0.248,-0.674,0.171,1.986,1.839,2.147,-0.718,-1.027,-0.338,2.52,2.284,2.816,-0.115,-0.508,0.305,1.449,1.088,1.784,-1.011,-1.386,-0.432,1.38,0.985,1.681,-2.518,-2.974,-1.938,0.15,0.003,0.219,0.346,0.278,0.406
Frente Justicialista-Justicialist [Peronist] Party,Frente Justicialista - Partido Justicialista (Peronista),,FP-PJ,2017.0,2017-10-22,11.0,-0.101,-0.39,0.217,2.851,2.584,3.137,-0.563,-1.053,-0.121,2.416,2.001,2.917,1.056,0.507,1.465,3.119,2.865,3.32,1.387,0.964,1.777,2.55,2.331,2.76,0.755,0.354,1.185,2.379,2.197,2.564,0.591,0.236,0.944,3.405,3.206,3.591,0.627,0.233,1.027,2.111,1.755,2.468,-0.454,-0.895,0.074,1.824,1.442,2.24,0.322,-0.019,0.636,1.979,1.691,2.251,0.479,0.413,0.553
Let’s change,Cambiemos,,C,2017.0,2017-10-22,41.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radical Civic Union,Unión Cívica Radical,,UCR,2017.0,2017-10-22,,0.581,0.262,0.872,3.475,3.24,3.788,-0.49,-0.902,0.032,2.488,2.08,3.003,0.452,-0.034,0.885,2.829,2.635,3.078,1.576,1.205,2.015,2.655,2.434,2.884,-0.196,-0.623,0.243,2.008,1.853,2.172,1.678,1.112,2.151,3.843,3.768,3.99,-0.848,-1.325,-0.461,0.863,0.528,1.139,-1.205,-1.674,-0.74,1.243,0.91,1.569,-0.233,-0.586,0.108,1.503,1.206,1.78,0.245,0.173,0.298
