v2paenname,v2paenname_espaniol,v2paorname,v2pashname,year,historical_date,v2pavote,v2pariglef,v2pariglef_codelow,v2pariglef_codehigh,v2pariglef_osp,v2pariglef_osp_codelow,v2pariglef_osp_codehigh,v2pawelf,v2pawelf_codelow,v2pawelf_codehigh,v2pawelf_osp,v2pawelf_osp_codelow,v2pawelf_osp_codehigh,v2pawomlab,v2pawomlab_codelow,v2pawomlab_codehigh,v2pawomlab_osp,v2pawomlab_osp_codelow,v2pawomlab_osp_codehigh,v2palgbt,v2palgbt_codelow,v2palgbt_codehigh,v2palgbt_osp,v2palgbt_osp_codelow,v2palgbt_osp_codehigh,v2paimmig,v2paimmig_codelow,v2paimmig_codehigh,v2paimmig_osp,v2paimmig_osp_codelow,v2paimmig_osp_codehigh,v2parelig,v2parelig_codelow,v2parelig_codehigh,v2parelig_osp,v2parelig_osp_codelow,v2parelig_osp_codehigh,v2paanteli,v2paanteli_codelow,v2paanteli_codehigh,v2paanteli_osp,v2paanteli_osp_codelow,v2paanteli_osp_codehigh,v2papeople,v2papeople_codelow,v2papeople_codehigh,v2papeople_osp,v2papeople_osp_codelow,v2papeople_osp_codehigh,v2paclient,v2paclient_codelow,v2paclient_codehigh,v2paclient_osp,v2paclient_osp_codelow,v2paclient_osp_codehigh,v2xpa_popul,v2xpa_popul_codelow,v2xpa_popul_codehigh
"Aliance for Work, Justice, and Education","Alianza para el Trabajo, la Justicia y la Educación",,ALIANZA,2001.0,2001-10-14,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Republican Proposal,Propuesta Republicana,,PRO,2005.0,2005-10-23,7.4,1.661,1.329,1.977,4.374,4.163,4.64,-1.497,-1.918,-0.968,1.515,1.134,1.997,-0.983,-1.458,-0.552,2.141,1.932,2.346,-0.121,-0.563,0.24,1.855,1.702,2.067,-1.642,-2.1,-1.222,1.379,1.133,1.604,0.893,0.48,1.242,3.56,3.406,3.761,-0.989,-1.492,-0.573,0.76,0.419,1.027,-2.006,-2.475,-1.476,0.73,0.464,1.037,-1.332,-1.667,-0.952,0.682,0.445,0.887,0.176,0.121,0.234
Support for an Egalitarian Republic,Afirmación para una República Igualitaria,,ARI,2005.0,2005-10-23,7.8,-0.605,-0.93,-0.315,2.393,2.081,2.619,1.248,0.768,1.768,4.056,3.694,4.432,0.578,0.084,1.034,2.887,2.666,3.126,2.226,1.723,2.59,3.026,2.73,3.234,1.52,1.065,1.976,2.745,2.502,2.951,0.571,0.179,0.887,3.394,3.218,3.601,1.375,1.04,1.834,2.768,2.424,3.089,-0.552,-0.997,-0.044,1.742,1.301,2.074,-2.471,-2.897,-1.852,0.163,0.01,0.24,0.529,0.465,0.617
Civic Coalition ARI,Coalición Cívica ARI,,CC,2007.0,2007-10-28,,-0.253,-0.574,0.046,2.707,2.431,2.994,0.677,0.195,1.101,3.597,3.201,3.991,0.214,-0.271,0.661,2.715,2.506,2.954,1.744,1.337,2.153,2.748,2.507,2.97,0.238,-0.214,0.582,2.162,2.007,2.307,-0.262,-0.654,0.037,2.863,2.668,3.153,0.831,0.42,1.183,2.289,1.937,2.62,-0.703,-1.165,-0.234,1.617,1.209,1.946,-2.459,-2.868,-1.828,0.167,0.015,0.241,0.468,0.406,0.544
Concertation Party,Partido de la Concertación,,FORJA,2007.0,2007-10-28,,-0.829,-1.154,-0.5,2.198,1.891,2.444,0.901,0.364,1.363,3.788,3.375,4.203,0.047,-0.499,0.491,2.631,2.369,2.851,1.514,1.142,1.948,2.623,2.379,2.82,0.41,-0.056,0.845,2.231,2.048,2.406,1.486,1.057,2.004,3.794,3.698,3.952,1.237,0.832,1.651,2.648,2.345,3.05,-0.973,-1.47,-0.535,1.409,1.035,1.725,-1.144,-1.533,-0.817,0.801,0.505,0.987,0.456,0.38,0.535
Front for Victory,Frente para la Victoria,,FPV-PJ,2007.0,2007-10-28,,-1.659,-2.01,-1.331,1.551,1.3,1.78,0.551,0.025,0.995,3.481,3.068,3.927,1.4,0.87,1.806,3.283,3.042,3.481,2.124,1.72,2.545,2.97,2.736,3.215,2.701,2.148,3.071,3.333,3.156,3.601,0.901,0.551,1.298,3.566,3.397,3.738,2.724,2.306,3.218,3.672,3.52,3.892,0.816,0.285,1.27,2.895,2.563,3.329,0.735,0.39,1.093,2.321,2.032,2.61,0.803,0.746,0.87
Radical Civic Union,Unión Cívica Radical,,UCR,2007.0,2007-10-28,,0.039,-0.334,0.296,2.981,2.662,3.241,0.316,-0.161,0.764,3.271,2.853,3.71,0.188,-0.237,0.693,2.7,2.489,2.939,0.613,0.219,1.059,2.172,1.981,2.355,1.022,0.508,1.38,2.499,2.265,2.669,1.674,1.121,2.175,3.843,3.764,3.987,0.088,-0.326,0.451,1.62,1.264,1.946,-1.141,-1.59,-0.651,1.286,0.925,1.595,-0.349,-0.653,0.017,1.408,1.158,1.706,0.354,0.299,0.426
Socialist Party,Partido Socialista,,PS,2007.0,2007-10-28,,-1.683,-1.965,-1.297,1.535,1.332,1.809,1.479,1.041,2.026,4.229,3.902,4.564,2.078,1.455,2.511,3.589,3.406,3.82,2.495,1.999,2.893,3.189,2.96,3.462,2.289,1.887,2.757,3.127,2.934,3.372,1.753,1.2,2.258,3.863,3.799,3.998,1.156,0.753,1.546,2.581,2.25,2.938,-0.777,-1.24,-0.235,1.563,1.179,1.972,-1.106,-1.43,-0.749,0.829,0.598,1.063,0.481,0.399,0.56
Civic Coalition ARI,Coalición Cívica ARI,,CC,2009.0,2009-06-28,,-0.032,-0.313,0.298,2.912,2.651,3.214,0.457,-0.058,0.885,3.404,2.95,3.805,0.225,-0.203,0.725,2.718,2.521,2.969,1.744,1.337,2.153,2.748,2.507,2.97,0.252,-0.171,0.668,2.169,2.008,2.331,-0.346,-0.723,-0.05,2.805,2.583,3.071,0.645,0.305,1.101,2.123,1.82,2.533,-0.703,-1.165,-0.234,1.617,1.209,1.946,-2.462,-2.873,-1.845,0.164,0.017,0.256,0.452,0.385,0.521
Front for Victory,Frente para la Victoria,,FPV-PJ,2009.0,2009-06-28,,-1.664,-2.007,-1.349,1.552,1.315,1.785,0.702,0.233,1.149,3.616,3.224,4.019,1.453,0.946,1.884,3.303,3.076,3.517,2.25,1.802,2.662,3.043,2.779,3.277,2.701,2.148,3.071,3.333,3.156,3.601,0.919,0.546,1.294,3.573,3.435,3.775,3.482,2.848,3.965,3.904,3.847,4.0,1.194,0.733,1.681,3.179,2.845,3.508,0.729,0.391,1.098,2.317,2.025,2.608,0.871,0.823,0.925
Radical Civic Union,Unión Cívica Radical,,UCR,2009.0,2009-06-28,,0.175,-0.129,0.481,3.105,2.81,3.372,0.091,-0.358,0.585,3.054,2.643,3.534,0.203,-0.254,0.709,2.709,2.487,2.951,0.613,0.219,1.059,2.172,1.981,2.355,1.018,0.595,1.458,2.495,2.271,2.674,1.669,1.107,2.114,3.842,3.758,3.976,0.088,-0.326,0.451,1.62,1.264,1.946,-1.138,-1.681,-0.703,1.286,0.886,1.577,-0.349,-0.653,0.017,1.408,1.158,1.706,0.351,0.28,0.41
