timestamp,total_votos,sin_campo_ideologico,sin_filiacion_politica,sin_vparty_economico,delta_total_votos,delta_sin_campo_ideologico,delta_sin_filiacion_politica,delta_sin_vparty_economico
2026-09-03T19:29:04+00:00,12409698,98443,98443,138087,0,0,0,0
2026-09-03T22:51:27+00:00,12409698,85930,85930,121063,0,-12513,-12513,-17024
