# Total de votos, elección general -- La Plata, nacional 2015 (cargo: presidente)
id_agrupacion,agrupacion,votos,votos_porcentaje,campo_ideologico,filiacion_politica,vparty_economico,vparty_progresismo,vparty_populismo
0135,ALIANZA CAMBIEMOS,163852,39.9983,5,liberales,1.427,0.001,0.148
0131,ALIANZA FRENTE PARA LA VICTORIA,119144,29.0846,3,peronistas,-1.659,1.961,0.848
0138,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),70553,17.2229,4,peronistas,0.376,-0.016,0.363
0137,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,22939,5.5997,1,marxistas,-1.991,2.325,0.723
0132,ALIANZA PROGRESISTAS,18494,4.5146,2,progresistas,-1.268,1.642,0.492
0133,ALIANZA COMPROMISO FEDERAL,3616,0.8827,4,peronismo provincial,0.447,-0.547,0.375
BLANCO,BLANCO,8778,2.1428,,,,,
NULO,NULO,2271,0.5544,,,,,
