# Total de votos, elección general -- La Plata, municipal 2011 (cargo: intendente)
id_agrupacion,agrupacion,votos,votos_porcentaje,campo_ideologico,filiacion_politica,vparty_economico,vparty_progresismo,vparty_populismo
0131,ALIANZA FRENTE PARA LA VICTORIA,160079,41.6776,3,peronistas,-1.686,2.097,0.871
0134,ALIANZA FRENTE AMPLIO PROGRESISTA,45165,11.7590,2,progresistas,-1.268,1.642,0.492
0137,ALIANZA UNIÓN PARA EL DESARROLLO SOCIAL,37390,9.7347,4,otros,0.185,0.925,0.351
0236,FRENTE SOCIAL DE LA PCIA. BS.AS.,30037,7.8203,2,progresistas,-1.686,2.097,0.871
0132,ALIANZA FRENTE POPULAR,24291,6.3243,2,progresistas,-1.412,1.557,0.723
0133,ALIANZA COMPROMISO FEDERAL,16610,4.3245,4,peronismo provincial,,,
0047,COALICIÓN CÍVICA - AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA ARI,13177,3.4307,4,otros,0.452,0.299,0.372
0135,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,12264,3.1930,1,marxistas,-1.991,2.325,0.723
0160,NUEVO ENCUENTRO,8799,2.2909,2,progresistas,-1.991,1.557,0.821
0220,PROYECTO SUR,4472,1.1643,2,peronistas,-1.412,1.557,0.723
BLANCO,BLANCO,28864,7.5149,,,,,
NULO,NULO,2941,0.7657,,,,,
