# Total de votos, elección general -- La Plata, nacional 2011 (cargo: presidente)
id_agrupacion,agrupacion,votos,votos_porcentaje,campo_ideologico,filiacion_politica,vparty_economico,vparty_progresismo,vparty_populismo
0131,ALIANZA FRENTE PARA LA VICTORIA,153609,41.5562,3,peronistas,-1.686,2.097,0.871
0134,ALIANZA FRENTE AMPLIO PROGRESISTA,78714,21.2947,2,progresistas,-1.268,1.642,0.492
0137,ALIANZA UNIÓN PARA EL DESARROLLO SOCIAL,42476,11.4911,4,otros,,,
0133,ALIANZA COMPROMISO FEDERAL,30978,8.3805,4,peronismo provincial,,,
0132,ALIANZA FRENTE POPULAR,27275,7.3788,3,peronistas,,,
0135,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,12654,3.4233,1,marxistas,-1.991,2.325,0.723
0047,COALICIÓN CÍVICA - AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA ARI,9092,2.4597,4,otros,0.452,0.299,0.372
BLANCO,BLANCO,12279,3.3219,,,,,
NULO,NULO,2565,0.6939,,,,,
