# Total de votos, elección general -- La Plata, provincial 2023 (cargo: gobernador)
id_agrupacion,agrupacion,votos,votos_porcentaje,campo_ideologico,filiacion_politica,vparty_economico,vparty_progresismo,vparty_populismo
20134,UNION POR LA PATRIA,181231,39.3185,3,peronistas,-0.465,1.069,0.642
20132,JUNTOS POR EL CAMBIO,140137,30.4030,5,liberales,1.401,-0.1415,0.186
20135,LA LIBERTAD AVANZA,88716,19.2471,6,liberales,2.641,-1.260,0.237
20136,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,18514,4.0167,1,marxistas,-1.991,2.325,0.723
BLANCO,BLANCO,29581,6.4177,,,,,
NULO,NULO,2752,0.5971,,,,,
VOTANTES_HABILITADOS,VOTANTES_HABILITADOS,625734,100.0000,,,,,
