# Total de votos, elección general -- La Plata, provincial 2019 (cargo: gobernador)
id_agrupacion,agrupacion,votos,votos_porcentaje,campo_ideologico,filiacion_politica,vparty_economico,vparty_progresismo,vparty_populismo
135,JUNTOS POR EL CAMBIO,191782,43.4336,5,liberales,1.401,-0.142,0.186
02-503,FRENTE DE TODOS,190780,43.2067,3,peronistas,-0.465,1.069,0.642
137,CONSENSO FEDERAL,23091,5.2295,4,peronismo provincial,0.073,0.34,0.329
133,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,15291,3.4630,1,marxistas,-1.991,2.325,0.723
02-1911,FRENTE NOS,5213,1.1806,5,conservadores,,,
BLANCO,BLANCO,12867,2.9140,,,,,
NULO,NULO,2528,0.5725,,,,,
