# Total de votos, elección general -- La Plata, municipal 2021 (cargo: municipal)
id_agrupacion,agrupacion,votos,votos_porcentaje,campo_ideologico,filiacion_politica,vparty_economico,vparty_progresismo,vparty_populismo
506,JUNTOS,183044,43.9871,5,liberales,1.401,-0.141,0.186
507,FRENTE DE TODOS,137164,32.9617,3,peronistas,-0.465,1.069,0.642
504,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,31451,7.5580,1,marxistas,-1.991,2.325,0.723
503,AVANZA LIBERTAD,27798,6.6801,6,liberales,2.641,-1.260,0.237
508,FRENTE VAMOS CON VOS,17820,4.2823,4,peronismo provincial,0.325,-0.492,0.334
BLANCO,BLANCO,14509,3.4866,,,,,
NULO,NULO,4345,1.0441,,,,,
