# Total de votos, elección general -- La Plata, provincial 2003 (cargo: gobernador)
id_agrupacion,agrupacion,votos,votos_porcentaje,campo_ideologico,filiacion_politica,vparty_economico,vparty_progresismo,vparty_populismo
0001,MOVIMIENTO DE INTEG. Y DESARROLLO - MID,1348,0.4375,5,liberales,0.185,0.925,0.351
0002,PARTIDO JUSTICIALISTA,98136,31.8507,3,peronistas,-0.416,0.268,0.658
0003,UNION CIVICA RADICAL,17353,5.6320,3,radicalismo,0.039,0.895,0.338
0005,PARTIDO DEMOCRATA CRISTIANO,1627,0.5281,4,liberales,2.365,-1.020,0.045
0033,P. NACIONALISTA CONSTITUCIONAL,0,0.0000,,,,,
0045,POLITICA ABIERTA PARA LA INTEGRIDAD SOCIAL,1681,0.5456,4,peronistas,,,
0051,P. POPULAR DE LA RECONSTRUCCION - PPR,661,0.2145,,,,,
0052,P. UNION Y LIBERTAD - PUL,0,0.0000,,,,,
0100,PARTIDO DEL OBRERO,2902,0.9419,1,marxistas,-1.991,2.325,0.723
0104,PARTIDO DEL SOCIALISTA AUTENTICO,1625,0.5274,2,progresistas,-1.683,2.154,0.481
0170,PARTIDO DEMOCRATA CONSERVADOR,0,0.0000,5,conservadores,2.365,-1.020,0.045
0206,MOVIMIENTO POPULAR PARA LA RECONQUISTA,0,0.0000,,,,,
0207,P. HUMANISTA ECOLOGISTA,4353,1.4128,,,,,
0210,MOV. POR LA JUSTICIA SOCIAL - MOJUSO,24,0.0078,,,,,
0213,PARTIDO ENCUENTRO POPULAR,0,0.0000,,,,,
0222,VOLUNT. P. LA INTEG. Y EL DES. AUT. - VIDA,0,0.0000,,,,,
0226,MOV. VECINALISTA PROVINCIAL - MOVEPRO,68,0.0221,,vecinalismo,,,
0503,AZA. MOV. FED. P. RECREAR EL CRECIMIENTO,13203,4.2851,4,radicalismo,0.039,0.874,0.354
0505,AZA. FTE. POPULAR BONAERENSE - FREPOBO,23212,7.5336,4,nacionalistas,1.579,-1.862,0.425
0506,AZA. FTE. CAMBIA BUENOS AIRES,1197,0.3885,2,peronistas,,,
0507,AZA. IZQUIERDA UNIDA - P. SOCIALISTA,17408,5.6499,2,progresistas,-1.683,2.154,0.481
0508,AZA. AFIRM. P/ UNA REP. IGUALIT. - ARI,35384,11.4841,4,otros,0.452,0.299,0.372
0514,AGRUPACION COMUNAL ALTERNATIVA,0,0.0000,,,,,
1100,AZA. AC. FEDERALISTA P/ BS. AS. - AFEBA,29889,9.7007,4,nacionalistas,1.579,-1.862,0.425
1121,FRENTE UNION Y LIBERTAD,0,0.0000,,,,,
1124,FRENTE RENOVADOR PLATENSE,0,0.0000,4,peronistas,0.376,-0.016,0.363
1128,FRENTE AMPLIO POR LA CIUDAD,0,0.0000,2,progresistas,-1.991,1.557,0.821
1142,AFEBA - PLATENSE,0,0.0000,4,nacionalistas,1.579,-1.862,0.425
1188,FTE. POLO SOCIAL PARA LA VICTORIA,829,0.2691,,,,,
1508,RENACER PLATENSE,0,0.0000,3,peronistas,-0.416,0.268,0.658
BLANCO,BLANCO,52392,17.0042,,,,,
NULO,NULO,4821,1.5647,,,,,
VOTANTES_HABILITADOS,VOTANTES_HABILITADOS,427601,100.0000,,,,,
