# Total de votos, elección general -- La Plata, nacional 2021 (cargo: nacional)
id_agrupacion,agrupacion,votos,votos_porcentaje,campo_ideologico,filiacion_politica,vparty_economico,vparty_progresismo,vparty_populismo
506,JUNTOS,178843,44.7023,5,liberales,1.401,-0.141,0.186
507,FRENTE DE TODOS,127900,31.9689,3,peronistas,-0.465,1.069,0.642
504,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,29709,7.4258,1,marxistas,-1.991,2.325,0.723
503,AVANZA LIBERTAD,26727,6.6805,6,liberales,2.641,-1.260,0.237
508,FRENTE VAMOS CON VOS,17279,4.3189,4,peronismo provincial,0.325,-0.492,0.334
501,+ VALORES,9964,2.4905,5,nacionalistas,0.325,-0.492,0.334
BLANCO,BLANCO,5109,1.2770,,,,,
NULO,NULO,4545,1.1360,,,,,
VOTANTES_HABILITADOS,VOTANTES_HABILITADOS,541178,100.0000,,,,,
