# Total de votos, elección general -- La Plata, municipal 2013 (cargo: municipal)
id_agrupacion,agrupacion,votos,votos_porcentaje,campo_ideologico,filiacion_politica,vparty_economico,vparty_progresismo,vparty_populismo
0510,FRENTE RENOVADOR,123696,29.5108,4,peronistas,0.376,-0.016,0.363
0501,FRENTE PARA LA VICTORIA,68432,16.3262,3,peronistas,-1.663,2.033,0.872
0514,FRENTE PROGRESISTA CIVICO Y SOCIAL,64167,15.3087,3,progresistas,-0.692,1.546,0.461
0349,FRENTE SOCIAL DE LA PROVINCIA DE BUENOS AIRES,43100,10.2826,3,progresistas,-1.663,2.033,0.872
0507,UNIDOS POR LA LIBERTAD Y EL TRABAJO,29363,7.0053,4,liberales,,,
0505,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,27416,6.5408,1,marxistas,-1.991,2.325,0.723
0348,FRENTE CIUDAD NUEVA,20258,4.8331,1,peronistas,-1.991,1.557,0.821
0347,ESPACIO UNION PRO,11193,2.6704,5,liberales,1.401,-0.142,0.186
0511,FRENTE POPULAR DEMOCRATICO Y SOCIAL (PODEMOS),5797,1.3830,2,progresistas,,,
BLANCO,BLANCO,20754,4.9514,,,,,
NULO,NULO,4979,1.1879,,,,,
