# Total de votos, elección general -- La Plata, municipal 2019 (cargo: intendente)
id_agrupacion,agrupacion,votos,votos_porcentaje,campo_ideologico,filiacion_politica,vparty_economico,vparty_progresismo,vparty_populismo
135,JUNTOS POR EL CAMBIO,205365,46.5544,5,liberales,1.401,-0.142,0.186
02-503,FRENTE DE TODOS,171830,38.9523,3,peronistas,-0.465,1.069,0.642
137,CONSENSO FEDERAL,21431,4.8582,4,peronismo provincial,0.073,0.34,0.329
133,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,17573,3.9836,1,marxistas,-1.991,2.325,0.723
02-1911,FRENTE NOS,5287,1.1985,4,nacionalistas,2.641,-1.260,0.237
BLANCO,BLANCO,17008,3.8556,,,,,
NULO,NULO,2635,0.5973,,,,,
VOTANTES_HABILITADOS,VOTANTES_HABILITADOS,555945,100.0000,,,,,
